,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2019-20,22.0,WAS,NBA,PG,9.0,0.0,5.4,0.6,1.3,0.417,0.3,0.6,0.6,0.2,0.8,0.286,0.542,0.0,0.0,,0.1,0.4,0.6,0.8,0.0,0.1,0.3,0.2,1.4
1,2020-21,23.0,OKC,NBA,PG,9.0,0.0,9.8,0.8,2.3,0.333,0.4,1.6,0.286,0.3,0.8,0.429,0.429,0.3,0.6,0.6,0.1,0.7,0.8,1.0,0.3,0.0,0.2,1.1,2.3
2,2021-22,24.0,MIL,NBA,PG,4.0,0.0,15.8,1.3,4.5,0.278,0.5,2.8,0.182,0.8,1.8,0.429,0.333,0.5,0.5,1.0,0.0,1.0,1.0,0.5,1.3,0.0,0.8,1.3,3.5
3,Career,,,NBA,,22.0,0.0,9.1,0.8,2.3,0.333,0.4,1.4,0.3,0.4,1.0,0.381,0.422,0.2,0.3,0.714,0.1,0.6,0.7,0.8,0.4,0.0,0.4,0.8,2.2
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1 season,,OKC,NBA,,9.0,0.0,9.8,0.8,2.3,0.333,0.4,1.6,0.286,0.3,0.8,0.429,0.429,0.3,0.6,0.6,0.1,0.7,0.8,1.0,0.3,0.0,0.2,1.1,2.3
6,1 season,,WAS,NBA,,9.0,0.0,5.4,0.6,1.3,0.417,0.3,0.6,0.6,0.2,0.8,0.286,0.542,0.0,0.0,,0.1,0.4,0.6,0.8,0.0,0.1,0.3,0.2,1.4
7,1 season,,MIL,NBA,,4.0,0.0,15.8,1.3,4.5,0.278,0.5,2.8,0.182,0.8,1.8,0.429,0.333,0.5,0.5,1.0,0.0,1.0,1.0,0.5,1.3,0.0,0.8,1.3,3.5
