,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,8.0,Zach LaVine,SG,6-5,200,"March 10, 1995",us,7,UCLA
1,11.0,DeMar DeRozan,PF,6-6,220,"August 7, 1989",us,12,USC
2,9.0,Nikola Vucevic,C,6-11,260,"October 24, 1990",ch,10,USC
3,2.0,Lonzo Ball,PG,6-6,190,"October 27, 1997",us,4,UCLA
4,12.0,Ayo Dosunmu,G,6-5,200,"January 17, 2000",us,R,Illinois
5,44.0,Patrick Williams,PF,6-7,215,"August 26, 2001",us,1,Florida State
6,6.0,Alex Caruso,PG,6-4,186,"February 28, 1994",us,4,Texas A&M
7,7.0,Troy Brown Jr,SF,6-6,215,"July 28, 1999",us,3,Oregon
8,22.0,Alize Johnson,PF,6-7,212,"April 22, 1996",us,3,Missouri State
9,24.0,Javonte Green,SG,6-4,205,"July 23, 1993",us,2,Radford
10,,Marko Simonovic,C,6-11,216,"October 15, 1999",me,R,
11,,Devon Dotson (TW),PG,6-2,185,"August 2, 1999",us,1,Kansas
12,,Matt Thomas,SG,6-4,190,"August 4, 1994",us,2,Iowa State
13,,Tony Bradley,C,6-10,248,"January 8, 1998",us,4,UNC
14,,Coby White,PG,6-5,195,"February 16, 2000",us,2,UNC
15,,Tyler Cook (TW),PF,6-8,255,"September 23, 1997",us,2,Iowa
16,,Derrick Jones Jr,SF,6-5,210,"February 15, 1997",us,5,UNLV
