StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
Team,3,9,3,9,-9.42,0.44,-8.98,101.0,110.6,98.7,0.222,0.442,0.495,14.9,21.9,0.167,0.516,11.4,75.9,0.184,Amway Center,87032
Lg Rank,26,3,27,29,28.0,13.0,28.0,28.0,25.0,16.0,16.0,7.0,25.0,29.0,16.0,18.0,16.0,27.0,24.0,22.0,,16
