,StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
0,Team,32,50,38,44,-1.0,-0.39,-1.39,105.3,106.4,92.8,0.261,0.29,0.482,12.3,27.7,0.184,0.502,13.2,75.0,0.192,The Palace of Auburn Hills,625917
1,Lg Rank,23,8,20,20,20.0,22.0,20.0,15.0,19.0,22.0,20.0,11.0,24.0,6.0,3.0,26.0,20.0,17.0,15.0,10.0,,26
