No.,Player,Pos,Ht,Wt,Birthdate,Country,Exp,College
,Davion Mitchell,G,6-2,205,"September 5, 1998",us,R,"Auburn, Baylor"
,Robert Woodard,F,6-6,235,"September 22, 1999",us,1,Mississippi State
,Buddy Hield,G,6-4,220,"December 17, 1992",bs,5,Oklahoma
,Neemias Queta (TW),C,7-0,245,"July 13, 1999",pt,R,Utah State University
,Jahmi'us Ramsey,G,6-3,190,"June 9, 2001",us,1,Texas Tech
,Marvin Bagley III,F-C,6-11,235,"March 14, 1999",us,3,Duke
,Maurice Harkless,F-G,6-7,220,"May 11, 1993",us,9,St. John's
,Chimezie Metu,F,6-9,225,"March 22, 1997",us,3,USC
,Harrison Barnes,F,6-8,225,"May 30, 1992",us,9,UNC
,Alex Len,C,7-0,250,"June 16, 1993",ua,8,Maryland
,Damian Jones,F-C,6-11,245,"June 30, 1995",us,5,Vanderbilt
,De'Aaron Fox,G,6-3,185,"December 20, 1997",us,4,Kentucky
,Emanuel Terry,F,6-9,220,"August 21, 1996",us,1,Lincoln Memorial
,Terence Davis,G,6-4,201,"May 16, 1997",us,2,Ole Miss
,Tyrese Haliburton,G,6-5,185,"February 29, 2000",us,1,Iowa State
,Richaun Holmes,F-C,6-10,235,"October 15, 1993",us,6,Bowling Green
,Tristan Thompson,F-C,6-9,254,"March 13, 1991",ca,10,Texas
