,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,82.0,19830,3086,6904,0.447,610,1681,0.363,2476,5223,0.474,1437,1869,0.769,943,2385,3328,1708,671,342,1199,1717,8219
1,Team/G,,241.8,37.6,84.2,0.447,7.4,20.5,0.363,30.2,63.7,0.474,17.5,22.8,0.769,11.5,29.1,40.6,20.8,8.2,4.2,14.6,20.9,100.2
2,Lg Rank,,12,11,4,19.0,11,10,12.0,15,13,20.0,10,13,11.0,13,29,25,25,13,28,15,25,10
3,Year/Year,,0.3%,-0.2%,-2.7%,0.011,19.5%,4.0%,0.047,-4.1%,-4.7%,0.003,2.6%,-1.8%,0.033,-13.9%,-1.4%,-5.3%,8.2%,-3.7%,-14.8%,1.4%,7.4%,1.5%
4,Opponent,82.0,19830,3222,6831,0.472,625,1762,0.355,2597,5069,0.512,1550,1980,0.783,973,2601,3574,2058,624,517,1208,1636,8619
5,Opponent/G,,241.8,39.3,83.3,0.472,7.6,21.5,0.355,31.7,61.8,0.512,18.9,24.1,0.783,11.9,31.7,43.6,25.1,7.6,6.3,14.7,20.0,105.1
6,Lg Rank,,12,28,21,28.0,22,23,13.0,26,13,29.0,28,27,30.0,26,22,24,29,11,27,15,14,30
7,Year/Year,,0.3%,-2.8%,-2.0%,-0.004,14.6%,14.7%,-0.001,-6.2%,-6.7%,0.003,11.6%,8.6%,0.021,-3.9%,-2.8%,-3.1%,5.4%,-3.0%,-1.6%,-4.1%,0.3%,0.6%
