,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,3,Darrell Armstrong,PG,6-0,170,"June 22, 1968",United States,9,Fayetteville State University
1,2,Stacey Augmon,SF,6-8,205,"August 1, 1968",United States,12,UNLV
2,42,PJ Brown,PF,6-11,225,"October 14, 1969",United States,10,Louisiana Tech
3,6,Tierre Brown,PG,6-2,189,"June 3, 1979",United States,2,McNeese State University
4,5,Maurice Carter,SG,6-5,210,"October 12, 1976",United States,R,LSU
5,1,Baron Davis,PG,6-3,209,"April 13, 1979",United States,4,UCLA
6,17,Bryce Drew,PG,6-2,185,"September 21, 1974",United States,5,Valparaiso
7,9,George Lynch,SF,6-8,218,"September 3, 1970",United States,10,UNC
8,21,Jamaal Magloire,C,6-11,259,"May 21, 1978",Canada,3,Kentucky
9,24,Jamal Mashburn,SF,6-8,240,"November 29, 1972",United States,10,Kentucky
10,45,Sean Rooks,C,6-10,250,"September 9, 1969",United States,11,Arizona
11,8,Steve Smith,SG,6-7,200,"March 31, 1969",United States,12,Michigan State
12,34,Robert Traylor,C,6-8,284,"February 1, 1977",United States,5,Michigan
13,4,David Wesley,SG,6-0,190,"November 14, 1970",United States,10,Baylor
14,30,David West,PF,6-9,250,"August 29, 1980",United States,R,Xavier
15,11,Shammond Williams,PG,6-1,201,"April 5, 1975",United States,5,UNC
