,Rk,Player,Pos,Age,Tm,G,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1,Precious Achiuwa,PF,21,MIA,61,4,12.1,2.0,3.7,.544,0.0,0.0,.000,2.0,3.7,.546,.544,0.9,1.8,.509,1.2,2.2,3.4,0.5,0.3,0.5,0.7,1.5,5.0,737,14.2,.550,.004,.482,11.5,20.6,16.1,6.1,1.3,4.0,13.5,19.5,,0.3,1.0,1.3,.085,,-3.5,-0.9,-4.5,-0.5
1,2,Jaylen Adams,PG,24,MIL,7,0,2.6,0.1,1.1,.125,0.0,0.3,.000,0.1,0.9,.167,.125,0.0,0.0,,0.0,0.4,0.4,0.3,0.0,0.0,0.0,0.1,0.3,18,-6.5,.125,.250,.000,0.0,16.9,8.8,12.7,0.0,0.0,0.0,18.6,,-0.1,0.0,-0.1,-0.252,,-14.9,-5.0,-19.8,-0.1
2,3,Steven Adams,C,27,NOP,58,58,27.7,3.3,5.3,.614,0.0,0.1,.000,3.3,5.3,.620,.614,1.0,2.3,.444,3.7,5.2,8.9,1.9,0.9,0.7,1.3,1.9,7.6,1605,15.1,.596,.010,.438,14.4,20.4,17.4,9.1,1.6,2.2,17.5,11.7,,2.3,1.7,4.0,.119,,-0.3,-0.5,-0.8,0.5
3,4,Bam Adebayo,C,23,MIA,64,64,33.5,7.1,12.5,.570,0.0,0.1,.250,7.1,12.4,.573,.571,4.4,5.5,.799,2.2,6.7,9.0,5.4,1.2,1.0,2.6,2.3,18.7,2143,22.7,.626,.010,.443,7.7,22.6,15.3,26.9,1.7,3.2,15.0,23.7,,5.6,3.2,8.8,.197,,2.9,1.9,4.7,3.6
4,5,LaMarcus Aldridge,C,35,TOT,26,23,25.95,5.225,10.6,0.5,1.025,2.175,0.58,4.2,8.425,0.5,0.54,1.775,1.9,0.93,0.575,4.075,4.65,2.2,0.5,1.6,1.2,1.975,13.2,369.5,16.8,0.58,0.195,0.181,2.48,16.7,9.75,12.45,0.93,5.33,9.62,21.17,,0.3,0.375,0.675,0.105,,-0.2,0.6,0.4,0.125
5,6,Ty-Shon Alexander,SG,22,PHO,15,0,3.1,0.2,0.8,.250,0.1,0.6,.222,0.1,0.2,.333,.333,0.1,0.1,.500,0.1,0.5,0.7,0.4,0.0,0.1,0.2,0.1,0.6,47,4.2,.349,.750,.167,4.9,19.0,12.1,15.4,0.0,1.9,18.9,15.0,,-0.1,0.0,0.0,-0.048,,-5.3,-1.6,-6.8,-0.1
6,7,Nickeil Alexander-Walker,SG,22,NOP,46,13,21.9,4.2,10.0,.419,1.7,4.8,.347,2.5,5.2,.485,.502,1.0,1.4,.727,0.3,2.8,3.1,2.2,1.0,0.5,1.5,1.9,11.0,1007,12.5,.522,.478,.144,1.4,14.1,7.8,14.7,2.2,2.1,12.4,23.2,,-0.3,1.0,0.7,.035,,-1.4,-0.2,-1.6,0.1
7,8,Grayson Allen,SG,25,MEM,50,38,25.2,3.5,8.3,.418,2.1,5.5,.391,1.3,2.8,.471,.547,1.6,1.8,.868,0.4,2.8,3.2,2.2,0.9,0.2,1.0,1.4,10.6,1259,12.8,.586,.662,.220,1.6,12.0,6.7,11.5,1.7,0.6,9.6,16.8,,1.5,1.2,2.7,.101,,-0.4,-0.1,-0.5,0.5
8,9,Jarrett Allen,C,22,TOT,63,45,29.225,4.6,7.375,0.63,0.075,0.275,,4.525,7.075,0.64,0.63,3.3,4.675,0.71,3.125,6.95,10.05,1.7,0.525,1.45,1.6,1.575,12.6,1318.0,20.3,0.67,0.033,0.659,11.95,26.67,19.27,8.65,0.88,4.42,14.9,16.43,,3.025,1.45,4.45,0.173,,1.375,-0.3,1.05,0.975
9,10,Al-Farouq Aminu,PF,30,TOT,23,14,15.725,1.1,3.225,0.3,0.275,1.35,0.19,0.85,1.875,0.37,0.34,0.75,0.9,0.81,0.7,3.4,4.15,0.9,0.6,0.225,0.925,1.25,3.225,233.75,6.2,0.42,0.48,0.353,4.3,24.58,14.4,7.1,1.8,1.02,20.12,11.88,,-0.225,0.275,0.05,-0.0,,-6.3,0.55,-5.775,-0.125
10,11,Kyle Anderson,PF,27,MEM,69,69,27.3,4.5,9.5,.468,1.4,3.8,.360,3.1,5.8,.539,.540,2.1,2.7,.783,0.8,5.0,5.7,3.6,1.2,0.8,1.2,1.7,12.4,1887,17.2,.578,.397,.280,2.9,19.5,11.1,18.3,2.1,2.7,10.4,18.5,,2.9,2.7,5.6,.143,,1.4,1.7,3.1,2.4
11,12,Giannis Antetokounmpo,PF,26,MIL,61,61,33.0,10.3,18.0,.569,1.1,3.6,.303,9.2,14.4,.636,.600,6.5,9.5,.685,1.6,9.4,11.0,5.9,1.2,1.2,3.4,2.8,28.1,2013,29.2,.633,.201,.528,5.3,28.9,17.5,28.7,1.7,3.2,13.2,32.5,,6.9,3.3,10.2,.244,,6.2,2.6,8.8,5.5
12,13,Kostas Antetokounmpo,PF,23,LAL,15,0,3.7,0.2,0.7,.300,0.0,0.0,,0.2,0.7,.300,.300,0.4,0.9,.462,0.3,1.0,1.3,0.1,0.1,0.3,0.7,0.5,0.8,56,0.0,.382,.000,1.300,8.1,29.9,19.1,2.3,1.7,6.4,41.2,20.7,,-0.3,0.1,-0.2,-0.174,,-13.2,0.2,-13.0,-0.2
13,14,Thanasis Antetokounmpo,SF,28,MIL,57,3,9.7,1.2,2.4,.489,0.1,0.5,.241,1.1,1.9,.556,.515,0.4,0.9,.510,0.9,1.2,2.2,0.8,0.4,0.2,0.8,1.3,2.9,551,10.3,.523,.212,.358,10.7,12.9,11.8,10.3,1.9,1.6,21.3,15.3,,0.0,0.6,0.7,.057,,-3.6,-0.3,-3.9,-0.3
14,15,Carmelo Anthony,PF,36,POR,69,3,24.5,4.7,11.3,.421,1.9,4.7,.409,2.8,6.6,.429,.506,2.0,2.2,.890,0.5,2.6,3.1,1.5,0.7,0.6,0.9,2.1,13.4,1690,14.6,.547,.418,.198,2.0,11.8,6.8,9.2,1.3,2.0,6.7,23.1,,1.7,0.8,2.6,.073,,0.1,-1.6,-1.5,0.2
15,16,Cole Anthony,PG,20,ORL,47,34,27.1,4.7,11.7,.397,1.2,3.7,.337,3.4,8.1,.424,.449,2.3,2.8,.832,0.8,3.9,4.7,4.1,0.6,0.4,2.3,2.1,12.9,1273,12.1,.496,.312,.237,3.0,15.4,9.0,24.2,1.1,1.3,14.8,24.3,,-0.9,0.9,0.0,-0.001,,-2.0,-1.3,-3.3,-0.4
16,17,OG Anunoby,SF,23,TOR,43,43,33.3,5.8,12.1,.480,2.4,6.1,.398,3.4,6.0,.562,.580,1.9,2.4,.784,1.3,4.3,5.5,2.2,1.5,0.7,1.7,2.7,15.9,1433,15.4,.605,.503,.197,4.0,14.6,9.1,10.1,2.2,2.2,11.7,19.3,,1.5,1.6,3.1,.104,,0.6,0.3,1.0,1.1
17,18,Ryan Arcidiacono,PG,26,CHI,44,0,10.2,1.1,2.7,.419,0.6,1.5,.373,0.5,1.1,.480,.526,0.3,0.5,.650,0.1,1.4,1.5,1.3,0.2,0.0,0.2,1.1,3.1,450,9.8,.541,.573,.171,1.2,15.1,8.3,16.3,1.0,0.0,7.4,13.1,,0.5,0.4,0.9,.093,,-2.7,0.2,-2.5,-0.1
18,19,Trevor Ariza,SF,35,MIA,30,27,28.0,3.3,8.0,.411,1.7,4.8,.350,1.6,3.3,.500,.515,1.1,1.5,.773,0.9,3.9,4.8,1.8,1.0,0.6,0.7,1.8,9.4,841,11.9,.542,.593,.183,3.7,15.6,9.8,9.4,1.8,2.2,7.5,15.1,,0.5,1.0,1.6,.091,,-1.5,0.2,-1.3,0.2
19,20,DJ Augustin,PG,33,TOT,57,12,20.175,2.675,6.6,0.4,1.55,4.025,0.38,1.125,2.575,0.43,0.52,1.875,2.025,0.9,0.425,1.5,1.85,3.525,0.45,0.0,1.3,1.075,8.75,668.5,13.325,0.58,0.618,0.299,2.0,7.83,4.82,24.35,1.07,0.05,14.68,18.27,,0.975,0.275,1.275,0.093,,-0.225,-1.925,-2.15,0.0
