StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,11.0,2640,440,982,0.448,152,426,0.357,288,556,0.518,160,206,0.777,94,394,488,258,105,49,150,198,1192
Team/G,,240.0,40.0,89.3,0.448,13.8,38.7,0.357,26.2,50.5,0.518,14.5,18.7,0.777,8.5,35.8,44.4,23.5,9.5,4.5,13.6,18.0,108.4
Lg Rank,,27,16,13,16.0,6,7,9.0,20,21,15.0,19,21,14.0,28,11,25,16,5,23,7,8,17
Year/Year,,0.0%,-4.3%,3.0%,-0.034,-3.1%,11.6%,-0.054,-4.9%,-2.8%,-0.011,-10.0%,-2.8%,-0.062,-9.3%,3.1%,0.5%,-3.8%,35.0%,8.7%,3.3%,-6.3%,-5.0%
Opponent,11.0,2640,427,999,0.427,135,405,0.333,292,594,0.492,152,194,0.784,131,406,537,229,93,46,190,214,1141
Opponent/G,,240.0,38.8,90.8,0.427,12.3,36.8,0.333,26.5,54.0,0.492,13.8,17.6,0.784,11.9,36.9,48.8,20.8,8.5,4.2,17.3,19.5,103.7
Lg Rank,,27,6,22,2.0,17,17,13.0,6,17,2.0,7,4,20.0,25,24,27,2,20,6,3,8,6
Year/Year,,0.0%,-3.2%,5.1%,-0.036,6.1%,13.2%,-0.023,-6.9%,0.2%,-0.038,-14.0%,-14.7%,0.006,30.1%,15.2%,18.5%,-9.2%,19.4%,-1.0%,34.4%,7.5%,-3.8%
