,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,12,Hilton Armstrong,C,6-11,235,"November 11, 1984",United States,R,UConn
1,33,Brandon Bass,PF,6-8,250,"April 30, 1985",United States,1,LSU
2,23,Devin Brown,SG,6-5,220,"December 30, 1978",United States,4,Texas-San Antonio
3,45,Rasual Butler,SF,6-7,215,"May 23, 1979",United States,4,La Salle
4,6,Tyson Chandler,C,7-0,235,"October 2, 1982",United States,5,
5,8,Bobby Jackson,SG,6-1,185,"March 13, 1973",United States,9,Minnesota
6,44,Marc Jackson,PF,6-10,270,"January 16, 1975",United States,6,"VCU, Temple"
7,43,Linton Johnson,PF,6-8,205,"June 13, 1980",United States,3,Tulane
8,24,Desmond Mason,SF,6-7,224,"October 11, 1977",United States,6,Oklahoma State
9,2,Jannero Pargo,PG,6-1,175,"October 22, 1979",United States,4,Arkansas
10,3,Chris Paul,PG,6-0,175,"May 6, 1985",United States,1,Wake Forest
11,22,Cedric Simmons,PF,6-9,235,"January 3, 1986",United States,R,NC State
12,16,Peja Stojakovic,SF,6-10,229,"June 9, 1977",Croatia,8,
13,11,Marcus Vinicius,SF,6-8,225,"May 31, 1984",Brazil,R,
14,30,David West,PF,6-9,250,"August 29, 1980",United States,3,Xavier
