,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,45,Kadeem Allen,PG,6-1,200,"January 15, 1993",United States,R,Arizona
1,46,Aron Baynes,C,6-10,260,"December 9, 1986",New Zealand,5,Washington State
2,26,Jabari Bird,SG,6-6,198,"July 3, 1994",United States,R,California
3,7,Jaylen Brown,SG,6-6,223,"October 24, 1996",United States,1,California
4,9,Jarell Eddie,SF,6-7,218,"October 30, 1991",United States,2,Virginia Tech
5,60,Jonathan Gibson,PG,6-2,185,"November 8, 1987",United States,1,New Mexico State
6,20,Gordon Hayward,SF,6-7,225,"March 23, 1990",United States,7,Butler
7,42,Al Horford,C,6-9,240,"June 3, 1986",Dominican Republic,10,Florida
8,11,Kyrie Irving,PG,6-2,195,"March 23, 1992",Australia,6,Duke
9,8,Shane Larkin,PG,5-11,175,"October 2, 1992",United States,3,Miami (FL)
10,55,Greg Monroe,C,6-11,265,"June 4, 1990",United States,7,Georgetown
11,13,Marcus Morris,PF,6-8,218,"September 2, 1989",United States,6,Kansas
12,28,Abdel Nader,SF,6-5,225,"September 25, 1993",Egypt,R,"Northern Illinois, Iowa State"
13,37,Semi Ojeleye,PF,6-6,240,"December 5, 1994",United States,R,"Duke, SMU"
14,12,Terry Rozier,PG,6-1,190,"March 17, 1994",United States,2,Louisville
15,9,Xavier Silas,SG,6-5,205,"January 22, 1988",United States,1,"Colorado, Northern Illinois"
16,36,Marcus Smart,SG,6-3,220,"March 6, 1994",United States,3,Oklahoma State
17,0,Jayson Tatum,SF,6-8,210,"March 3, 1998",United States,R,Duke
18,27,Daniel Theis,C,6-8,245,"April 4, 1992",Germany,R,
19,30,Guerschon Yabusele,PF,6-8,260,"December 17, 1995",France,R,
