,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,82.0,19830,2816,6394,0.44,253,811,0.312,2563,5583,0.459,1617,2077,0.779,917,2395,3312,1612,621,390,1095,1644,7502
1,Team/G,,241.8,34.3,78.0,0.44,3.1,9.9,0.312,31.3,68.1,0.459,19.7,25.3,0.779,11.2,29.2,40.4,19.7,7.6,4.8,13.4,20.0,91.5
2,Lg Rank,,14,25,26,18.0,26,26,27.0,11,10,20.0,7,10,4.0,23,21,27,24,19,20,4,3,24
3,Year/Year,,0.5%,-4.2%,-4.1%,-0.001,-17.0%,3.2%,-0.076,-2.7%,-5.0%,0.011,13.2%,11.3%,0.013,-13.1%,0.1%,-3.9%,-6.0%,8.9%,10.2%,2.5%,-6.7%,-1.4%
4,Opponent,82.0,19830,2877,6507,0.442,449,1242,0.362,2428,5265,0.461,1382,1792,0.771,949,2447,3396,1776,612,358,1171,1804,7585
5,Opponent/G,,241.8,35.1,79.4,0.442,5.5,15.1,0.362,29.6,64.2,0.461,16.9,21.9,0.771,11.6,29.8,41.4,21.7,7.5,4.4,14.3,22.0,92.5
6,Lg Rank,,14,12,10,16.0,21,17,22.0,8,8,14.0,5,3,26.0,12,11,10,16,7,7,21,11,10
7,Year/Year,,0.5%,-2.6%,-0.4%,-0.01,6.4%,4.3%,0.007,-4.1%,-1.5%,-0.013,-1.0%,-3.1%,0.016,-1.1%,3.0%,1.8%,-2.3%,6.8%,-13.5%,6.9%,5.3%,-1.8%
