,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,31,Shane Battier,SF,6-8,220,"September 9, 1978",United States,9,Duke
1,0,Aaron Brooks,PG,6-0,161,"January 14, 1985",United States,3,Oregon
2,10,Chase Budinger,SF,6-7,209,"May 22, 1988",United States,1,Arizona
3,0,DeMarre Carroll,PF,6-6,215,"July 27, 1986",United States,1,"Vanderbilt, Missouri"
4,3,Goran Dragic,PG,6-3,190,"May 6, 1986",Slovenia,2,
5,33,Mike Harris,PF,6-6,240,"June 15, 1983",United States,2,Rice University
6,44,Chuck Hayes,C,6-6,240,"June 11, 1983",United States,5,Kentucky
7,27,Jordan Hill,C,6-10,235,"July 27, 1987",United States,1,Arizona
8,20,Jared Jeffries,PF,6-11,230,"November 25, 1981",United States,8,Indiana
9,5,Courtney Lee,SG,6-5,215,"October 3, 1985",United States,2,Western Kentucky
10,7,Kyle Lowry,PG,6-0,196,"March 25, 1986",United States,4,Villanova
11,12,Kevin Martin,SG,6-7,199,"February 1, 1983",United States,6,Western Carolina University
12,52,Brad Miller,C,6-11,244,"April 12, 1976",United States,12,Purdue
13,11,Yao Ming,C,7-6,310,"September 12, 1980",China,7,
14,54,Patrick Patterson,PF,6-8,235,"March 14, 1989",United States,R,Kentucky
15,4,Luis Scola,PF,6-9,240,"April 30, 1980",Argentina,3,
16,13,Ish Smith,PG,6-0,175,"July 5, 1988",United States,R,Wake Forest
17,8,Jermaine Taylor,SG,6-4,210,"December 8, 1986",United States,1,Central Florida
18,32,Hasheem Thabeet,C,7-3,263,"February 16, 1987",Tanzania,1,UConn
19,1,Terrence Williams,SG,6-6,220,"June 28, 1987",United States,1,Louisville
