,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,OWS,DWS,WS,WS/48
0,1949-50,24.0,SHE,NBA,,62,,,0.445,0.598,,,,,4.4,-0.4,4.1,
1,Career,,,NBA,,62,,,0.445,0.598,,,,,4.4,-0.4,4.1,
