,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,0,Darrell Arthur,SF,6-9,235,"March 25, 1988",United States,4,Kansas
1,0,Aaron Brooks,PG,6-0,161,"January 14, 1985",United States,5,Oregon
2,21,Wilson Chandler,SF,6-8,235,"May 10, 1987",United States,6,DePaul
3,35,Kenneth Faried,PF,6-8,220,"November 19, 1989",United States,2,Morehead State University
4,94,Evan Fournier,SG,6-7,205,"October 29, 1992",France,1,
5,4,Randy Foye,SG,6-4,213,"September 24, 1983",United States,7,Villanova
6,1,Jordan Hamilton,SF,6-7,220,"October 6, 1990",United States,2,Texas
7,7,JJ Hickson,PF,6-9,242,"September 4, 1988",United States,5,NC State
8,3,Ty Lawson,PG,5-11,195,"November 3, 1987",United States,4,UNC
9,34,JaVale McGee,C,7-0,270,"January 19, 1988",United States,5,Nevada
10,24,Andre Miller,SG,6-3,200,"March 19, 1976",United States,14,Utah
11,30,Quincy Miller,PF,6-9,210,"November 18, 1992",United States,1,Baylor
12,25,Timofey Mozgov,C,7-1,275,"July 16, 1986",Russia,3,
13,15,Anthony Randolph,PF,6-10,205,"July 15, 1989",Germany,5,LSU
14,10,Nate Robinson,PG,5-9,180,"May 31, 1984",United States,8,Washington
15,24,Jan Vesely,PF,6-11,240,"April 24, 1990",Czechia,2,
