,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,72.0,17480,3014,6518,0.462,716,2046,0.35,2298,4472,0.514,1254,1584,0.792,669,2489,3158,1759,505,366,821,1293,7998
1,Team/G,,242.8,41.9,90.5,0.462,9.9,28.4,0.35,31.9,62.1,0.514,17.4,22.0,0.792,9.3,34.6,43.9,24.4,7.0,5.1,11.4,18.0,111.1
2,Lg Rank,,1,11,7,20.0,30,30,24.0,2,1,24.0,9,12,10.0,24,16,18,16,22,10,2,3,20
3,Year/Year,,0.1%,-0.8%,1.2%,-0.009,-7.1%,-0.2%,-0.026,1.4%,1.9%,-0.002,-8.3%,-6.1%,-0.018,3.1%,-3.0%,-1.8%,-0.9%,-3.9%,-7.5%,-9.5%,-7.4%,-2.6%
4,Opponent,72.0,17480,3055,6469,0.472,885,2350,0.377,2170,4119,0.527,1128,1489,0.758,732,2681,3413,1784,454,369,949,1338,8123
5,Opponent/G,,242.8,42.4,89.8,0.472,12.3,32.6,0.377,30.1,57.2,0.527,15.7,20.7,0.758,10.2,37.2,47.4,24.8,6.3,5.1,13.2,18.6,112.8
6,Lg Rank,,1,24,24,22.0,11,9,23.0,27,27,13.0,7,9,2.0,24,28,29,14,2,19,19,22,19
7,Year/Year,,0.1%,0.3%,-0.4%,0.003,-6.3%,-7.0%,0.003,3.2%,3.9%,-0.003,-10.2%,-7.9%,-0.019,8.5%,3.6%,4.7%,-3.6%,-7.9%,18.1%,-0.1%,-7.3%,-2.0%
