,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,22,Avery Bradley,SG,6-3,180,"November 26, 1990",United States,7,Texas
1,25,Reggie Bullock,SF,6-6,205,"March 16, 1991",United States,4,UNC
2,20,Dwight Buycks,PG,6-3,190,"March 6, 1989",United States,2,Marquette
3,0,Andre Drummond,C,6-10,279,"August 10, 1993",United States,5,UConn
4,8,Henry Ellenson,PF,6-10,240,"January 13, 1997",United States,1,Marquette
5,33,James Ennis,SF,6-6,215,"July 1, 1990",United States,3,Cal State Long Beach
6,22,Kay Felder,PG,5-9,176,"March 29, 1995",United States,1,Oakland
7,9,Langston Galloway,SG,6-1,200,"December 9, 1991",United States,3,Saint Joseph's
8,23,Blake Griffin,PF,6-9,250,"March 16, 1989",United States,7,Oklahoma
9,34,Tobias Harris,PF,6-8,226,"July 15, 1992",United States,6,Tennessee
10,38,Reggie Hearn,SG,6-5,210,"August 14, 1991",United States,R,Northwestern
11,1,Reggie Jackson,PG,6-2,208,"April 16, 1990",Italy,6,Boston College
12,7,Stanley Johnson,SF,6-6,242,"May 29, 1996",United States,2,Arizona
13,5,Luke Kennard,SG,6-5,206,"June 24, 1996",United States,R,Duke
14,30,Jon Leuer,PF,6-10,228,"May 14, 1989",United States,6,Wisconsin
15,51,Boban Marjanovic,C,7-4,290,"August 15, 1988",Serbia,2,
16,44,Luis Montero,SG,6-7,185,"April 6, 1993",Dominican Republic,1,Westchester CC
17,24,Eric Moreland,PF,6-10,238,"December 24, 1991",United States,2,Oregon State
18,41,Jameer Nelson,PG,6-0,190,"February 9, 1982",United States,13,Saint Joseph's
19,33,Willie Reed,C,6-10,220,"May 16, 1990",United States,2,Saint Louis
20,14,Ish Smith,PG,6-0,175,"July 5, 1988",United States,7,Wake Forest
21,43,Anthony Tolliver,PF,6-8,240,"June 1, 1985",United States,9,Creighton
