,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,82.0,19780,3089,6739,0.458,826,2253,0.367,2263,4486,0.504,1453,1934,0.751,911,2612,3523,1814,603,340,1171,1510,8457
1,Team/G,,241.2,37.7,82.2,0.458,10.1,27.5,0.367,27.6,54.7,0.504,17.7,23.6,0.751,11.1,31.9,43.0,22.1,7.4,4.1,14.3,18.4,103.1
2,Lg Rank,,23,15,24,8.0,4,2,5.0,28,29,7.0,9,12,18.0,11,21,18,10,19,25,17,5,8
3,Year/Year,,-0.8%,1.7%,-3.1%,0.022,41.4%,37.4%,0.01,-7.7%,-15.6%,0.043,3.9%,3.9%,0.0,-7.9%,-0.6%,-2.6%,4.4%,4.1%,11.8%,0.7%,-7.9%,5.0%
4,Opponent,82.0,19780,3121,6850,0.456,634,1848,0.343,2487,5002,0.497,1214,1629,0.745,885,2487,3372,1974,642,368,1092,1685,8090
5,Opponent/G,,241.2,38.1,83.5,0.456,7.7,22.5,0.343,30.3,61.0,0.497,14.8,19.9,0.745,10.8,30.3,41.1,24.1,7.8,4.5,13.3,20.5,98.7
6,Lg Rank,,23,22,16,20.0,13,15,9.0,21,15,24.0,1,1,11.0,12,4,3,30,15,10,22,11,13
7,Year/Year,,-0.8%,0.8%,0.0%,0.003,-17.1%,-11.3%,-0.024,6.6%,5.0%,0.008,-11.1%,-9.7%,-0.012,5.2%,-6.1%,-3.4%,-3.1%,9.4%,-20.2%,-4.5%,5.4%,-2.8%
