No.,Player,Pos,Ht,Wt,Birthdate,Country,Exp,College
,Rodney McGruder,G,6-4,205,"July 29, 1991",us,5,Kansas State
,Kelly Olynyk,C-F,6-11,240,"April 19, 1991",ca,8,Gonzaga
,Jerami Grant,F,6-8,210,"March 12, 1994",us,7,Syracuse
,Cory Joseph,G,6-3,200,"August 20, 1991",ca,10,Texas
,Trey Lyles,F,6-9,234,"November 5, 1995",ca,6,Kentucky
,Killian Hayes,G,6-5,195,"July 27, 2001",us,1,
,Chris Smith (TW),F,6-9,215,"December 24, 1999",us,R,UCLA
,Saben Lee,G,6-2,183,"June 23, 1999",us,1,Vanderbilt
,Saddiq Bey,F,6-7,215,"April 9, 1999",us,1,Villanova
,Luka Garza (TW),F-C,6-11,235,"December 27, 1998",us,R,Iowa
,Isaiah Livers,F,6-7,230,"July 28, 1998",us,R,Michigan
,Isaiah Stewart,F-C,6-8,250,"May 22, 2001",us,1,Washington
,Jamorko Pickett,G-F,6-9,206,"December 24, 1997",us,R,Georgetown
,Cade Cunningham,G,6-8,220,"September 25, 2001",us,R,Oklahoma State
,Deividas Sirvydis,G-F,6-8,190,"June 10, 2000",lt,1,
,Hamidou Diallo,G,6-5,202,"July 31, 1998",us,3,Kentucky
,Frank Jackson,G,6-3,205,"May 4, 1998",us,3,Duke
,Josh Jackson,F-G,6-8,207,"February 10, 1997",us,4,Kansas
