,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,30,Earl Barron,C,7-0,250,"August 14, 1981",United States,3,Memphis
1,9,Jonathan Bender,SF,6-11,202,"January 30, 1981",United States,7,
2,21,Wilson Chandler,SG,6-8,235,"May 10, 1987",United States,2,DePaul
3,34,Eddy Curry,C,7-0,295,"December 5, 1982",United States,8,
4,23,Toney Douglas,PG,6-2,195,"March 16, 1986",United States,R,"Auburn, Florida State"
5,1,Chris Duhon,PG,6-1,185,"August 31, 1982",United States,5,Duke
6,8,Danilo Gallinari,SF,6-10,233,"August 8, 1988",Italy,1,
7,4,JR Giddens,SF,6-5,215,"February 13, 1985",United States,1,"Kansas, New Mexico"
8,7,Al Harrington,PF,6-9,230,"February 17, 1980",United States,11,
9,43,Jordan Hill,PF,6-10,235,"July 27, 1987",United States,R,Arizona
10,50,Eddie House,SG,6-1,180,"May 14, 1978",United States,9,Arizona State
11,0,Larry Hughes,SG,6-5,184,"January 23, 1979",United States,11,Saint Louis
12,20,Jared Jeffries,PF,6-11,230,"November 25, 1981",United States,7,Indiana
13,11,Marcus Landry,SF,6-7,230,"November 1, 1985",United States,R,Wisconsin
14,42,David Lee,C,6-9,245,"April 29, 1983",United States,4,Florida
15,3,Tracy McGrady,SG,6-8,210,"May 24, 1979",United States,12,
16,31,Darko Milicic,C,7-0,250,"June 20, 1985",Serbia,6,
17,2,Nate Robinson,PG,5-9,180,"May 31, 1984",United States,4,Washington
18,13,Sergio Rodriguez,PG,6-3,176,"June 12, 1986",Spain,3,
19,5,Henry Walker,SG,6-6,220,"October 9, 1987",United States,1,Kansas State
