,StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
0,Team,50,16,51,15,8.18,-0.76,7.43,107.4,98.3,89.1,0.255,0.205,0.49,13.2,32.6,0.184,0.45,12.8,74.3,0.175,United Center,731326
1,Lg Rank,1,29,1,1,1.0,28.0,1.0,5.0,2.0,28.0,24.0,20.0,14.0,8.0,1.0,26.0,1.0,28.0,8.0,3.0,,1
