,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,5,Luke Babbitt,SF,6-9,225,"June 20, 1989",United States,6,Nevada
1,7,Goran Dragic,PG,6-3,190,"May 6, 1986",Slovenia,8,
2,2,Wayne Ellington,SG,6-4,207,"November 29, 1987",United States,7,UNC
3,40,Udonis Haslem,C,6-8,235,"June 9, 1980",United States,13,Florida
4,16,James Johnson,PF,6-7,240,"February 20, 1987",United States,7,Wake Forest
5,8,Tyler Johnson,PG,6-3,186,"May 7, 1992",United States,2,Fresno State
6,17,Rodney McGruder,SG,6-4,205,"July 29, 1991",United States,R,Kansas State
7,4,Josh McRoberts,PF,6-10,240,"February 28, 1987",United States,9,Duke
8,35,Willie Reed,C,6-10,220,"May 16, 1990",United States,1,Saint Louis
9,0,Josh Richardson,SG,6-5,200,"September 15, 1993",United States,1,Tennessee
10,11,Dion Waiters,SG,6-3,215,"December 10, 1991",United States,4,Syracuse
11,15,Okaro White,PF,6-8,205,"August 13, 1992",United States,R,Florida State
12,21,Hassan Whiteside,C,7-0,265,"June 13, 1989",United States,4,Marshall
13,22,Derrick Williams,PF,6-8,240,"May 25, 1991",United States,5,Arizona
14,20,Justise Winslow,SF,6-6,222,"March 26, 1996",United States,1,Duke
