StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
Team,8,7,7,8,-1.8,2.1,0.3,109.4,111.2,102.1,0.226,0.383,0.52,11.8,22.5,0.166,0.539,14.2,74.8,0.183,Spectrum Center,100424
Lg Rank,10,14,19,23,21.0,1.0,18.0,11.0,26.0,3.0,13.0,21.0,18.0,5.0,14.0,18.0,26.0,8.0,27.0,22.0,,19
