,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,12,Steven Adams,C,6-11,265,"July 20, 1993",New Zealand,7,Pitt
1,6,Nickeil Alexander-Walker,SG,6-6,205,"September 2, 1998",Canada,1,Virginia Tech
2,2,Lonzo Ball,PG,6-6,190,"October 27, 1997",United States,3,UCLA
3,5,Eric Bledsoe,SG,6-1,214,"December 9, 1989",United States,10,Kentucky
4,32,Wenyen Gabriel,PF,6-9,205,"March 26, 1997",Sudan,1,Kentucky
5,3,Josh Hart,SF,6-5,215,"March 6, 1995",United States,3,Villanova
6,10,Jaxson Hayes,C,6-11,220,"May 23, 2000",United States,1,Texas
7,9,Willy Hernangomez,C,6-11,250,"May 27, 1994",Spain,4,
8,14,Brandon Ingram,SF,6-8,190,"September 2, 1997",United States,4,Duke
9,4,Wesley Iwundu,SF,6-6,195,"December 20, 1994",United States,3,Kansas State
10,16,James Johnson,PF,6-7,240,"February 20, 1987",United States,11,Wake Forest
11,13,Kira Lewis,PG,6-1,170,"April 6, 2001",United States,R,Alabama
12,0,Marcos Louzada Silva,SF,6-5,188,"February 7, 1999",Brazil,R,
13,25,Will Magnay,C,6-10,234,"June 10, 1998",Australia,R,Tulsa
14,8,Naji Marshall,SF,6-7,220,"January 24, 1998",United States,R,Xavier
15,20,Nicolo Melli,PF,6-9,236,"January 26, 1991",Italy,1,
16,21,James Nunnally,SF,6-7,208,"July 14, 1990",United States,2,UC Santa Barbara
17,4,JJ Redick,SG,6-3,200,"June 24, 1984",United States,14,Duke
18,24,Isaiah Thomas,PG,5-9,185,"February 7, 1989",United States,9,Washington
19,15,Sindarius Thornwell,SG,6-4,215,"November 15, 1994",United States,3,South Carolina
20,1,Zion Williamson,PF,6-7,284,"July 6, 2000",United States,1,Duke
