,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,82.0,19830,2926,6698,0.437,446,1265,0.353,2480,5433,0.456,1343,1738,0.773,1026,2514,3540,1886,588,417,1171,1617,7641
1,Team/G,,241.8,35.7,81.7,0.437,5.4,15.4,0.353,30.2,66.3,0.456,16.4,21.2,0.773,12.5,30.7,43.2,23.0,7.2,5.1,14.3,19.7,93.2
2,Lg Rank,,12,27,14,25.0,29,29,21.0,14,6,28.0,17,19,9.0,6,14,8,8,23,15,10,12,29
3,Year/Year,,0.1%,-4.5%,-1.3%,-0.015,-14.3%,-8.8%,-0.022,-2.5%,0.6%,-0.015,7.5%,0.3%,0.051,-9.7%,-6.5%,-7.5%,-0.6%,3.8%,-13.5%,2.1%,14.3%,-3.3%
4,Opponent,82.0,19830,2906,6565,0.443,453,1309,0.346,2453,5256,0.467,1350,1826,0.739,901,2469,3370,1545,600,477,1123,1609,7615
5,Opponent/G,,241.8,35.4,80.1,0.443,5.5,16.0,0.346,29.9,64.1,0.467,16.5,22.3,0.739,11.0,30.1,41.1,18.8,7.3,5.8,13.7,19.6,92.9
6,Lg Rank,,12,4,8,9.0,2,1,5.0,16,24,5.0,14,18,6.0,11,10,9,1,6,22,23,17,3
7,Year/Year,,0.1%,2.4%,-2.5%,0.021,19.5%,12.2%,0.021,-0.2%,-5.6%,0.025,14.9%,14.9%,-0.0,-3.3%,5.2%,2.8%,-0.1%,-1.4%,11.9%,3.2%,11.1%,5.3%
