Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2018-19,20.0,SAS,NBA,SG,17,118,10.8,0.446,0.283,0.217,0.0,15.6,7.9,10.3,2.9,2.2,7.4,20.3,-0.1,0.2,0.0,0.019,-3.4,1.0,-2.4,0.0
2019-20,21.0,SAS,NBA,SG,61,988,10.5,0.507,0.283,0.171,2.5,12.7,7.6,9.6,1.5,1.2,10.3,18.7,-0.2,0.6,0.3,0.016,-2.5,-1.0,-3.5,-0.4
2020-21,22.0,SAS,NBA,SG,60,1522,9.8,0.523,0.463,0.115,1.0,10.1,5.4,9.6,0.9,0.8,9.2,20.1,-0.5,0.9,0.4,0.012,-2.2,-1.7,-3.8,-0.7
2021-22,23.0,SAS,NBA,SG,10,241,13.1,0.531,0.563,0.136,0.4,13.3,6.8,16.1,1.6,1.1,12.1,21.8,0.1,0.3,0.3,0.066,-0.9,-1.3,-2.2,0.0
Career,,,NBA,,148,2869,10.3,0.515,0.407,0.139,1.4,11.4,6.4,10.2,1.3,1.1,9.8,19.8,-0.8,1.9,1.1,0.018,-2.2,-1.3,-3.5,-1.1
