StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,20.0,4825,863,1847,0.467,197,571,0.345,666,1276,0.522,227,329,0.69,192,704,896,553,171,103,262,327,2150
Team/G,,241.3,43.2,92.4,0.467,9.9,28.6,0.345,33.3,63.8,0.522,11.4,16.5,0.69,9.6,35.2,44.8,27.7,8.6,5.2,13.1,16.4,107.5
Lg Rank,,29,1,3,6.0,30,30,15.0,1,1,15.0,30,30,30.0,21,16,19,2,8,12,5,1,15
Year/Year,,-0.6%,3.1%,2.0%,0.005,-0.9%,0.5%,-0.005,4.3%,2.7%,0.008,-34.8%,-25.2%,-0.102,3.3%,1.8%,2.1%,13.2%,21.9%,1.3%,14.9%,-9.0%,-3.2%
Opponent,20.0,4825,820,1792,0.458,250,714,0.35,570,1078,0.529,264,349,0.756,201,733,934,464,145,111,307,357,2154
Opponent/G,,241.3,41.0,89.6,0.458,12.5,35.7,0.35,28.5,53.9,0.529,13.2,17.5,0.756,10.1,36.7,46.7,23.2,7.3,5.6,15.4,17.9,107.7
Lg Rank,,29,25,20,21.0,18,15,20.0,23,19,18.0,2,5,7.0,16,25,24,12,6,24,9,27,19
Year/Year,,-0.6%,-3.4%,-0.3%,-0.015,1.7%,9.4%,-0.026,-5.4%,-5.8%,0.002,-15.7%,-15.6%,-0.001,-1.1%,-1.6%,-1.5%,-6.4%,15.0%,8.3%,16.5%,-3.9%,-4.5%
