,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,42,Charlie Bell,SG,6-3,200,"March 12, 1979",United States,5,Michigan State
1,6,Andrew Bogut,C,7-0,260,"November 28, 1984",Australia,4,Utah
2,9,Primoz Brezec,C,7-2,252,"October 2, 1979",Slovenia,7,
3,10,Carlos Delfino,SF,6-6,230,"August 29, 1982",Argentina,4,
4,9,Francisco Elson,C,7-0,235,"February 28, 1976",Netherlands,6,California
5,50,Dan Gadzuric,C,6-11,240,"February 2, 1978",Netherlands,7,UCLA
6,7,Ersan Ilyasova,PF,6-9,235,"May 15, 1987",Turkey,1,
7,11,Royal Ivey,SG,6-3,200,"December 20, 1981",United States,5,Texas
8,0,Darnell Jackson,PF,6-9,253,"November 7, 1985",United States,1,Kansas
9,3,Brandon Jennings,PG,6-1,170,"September 23, 1989",United States,R,
10,12,Luc Mbah a Moute,PF,6-8,230,"September 9, 1986",Cameroon,1,UCLA
11,23,Jodie Meeks,SG,6-4,210,"August 21, 1987",United States,R,Kentucky
12,22,Michael Redd,SG,6-6,220,"August 24, 1979",United States,9,Ohio State
13,13,Luke Ridnour,PG,6-2,175,"February 13, 1981",United States,6,Oregon
14,15,John Salmons,SG,6-7,210,"December 12, 1979",United States,7,Miami (FL)
15,24,Jerry Stackhouse,SG,6-6,218,"November 5, 1974",United States,14,UNC
16,40,Kurt Thomas,C,6-9,230,"October 4, 1972",United States,14,TCU
17,20,Roko Ukic,PG,6-5,183,"May 12, 1984",Croatia,1,
18,21,Hakim Warrick,PF,6-9,219,"July 8, 1982",United States,4,Syracuse
