StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
Team,7,2,7,2,11.44,-0.17,11.28,113.8,102.1,97.0,0.245,0.358,0.534,13.3,26.6,0.202,0.49,12.5,82.0,0.192,FTX Arena,98000
Lg Rank,3,28,4,2,2.0,18.0,1.0,2.0,4.0,28.0,7.0,24.0,6.0,17.0,2.0,3.0,6.0,18.0,2.0,26.0,,8
