,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,4,Jeff Adrien,PF,6-7,245,"February 10, 1986",United States,2,UConn
1,0,Bismack Biyombo,C,6-8,255,"August 28, 1992",Congo - Kinshasa,1,
2,13,Matt Carroll,SG,6-6,212,"August 28, 1980",United States,9,Notre Dame
3,2,DeSagana Diop,C,7-0,300,"January 30, 1982",Senegal,11,
4,8,Ben Gordon,SG,6-3,200,"April 4, 1983",United Kingdom,8,UConn
5,33,Brendan Haywood,C,7-0,268,"November 27, 1979",United States,11,UNC
6,9,Gerald Henderson,SG,6-5,215,"December 9, 1987",United States,3,Duke
7,11,Cory Higgins,SG,6-5,180,"June 14, 1989",United States,1,Colorado
8,14,Michael Kidd-Gilchrist,SF,6-6,232,"September 26, 1993",United States,R,Kentucky
9,11,Josh McRoberts,PF,6-10,240,"February 28, 1987",United States,5,Duke
10,22,Byron Mullens,PF,7-0,275,"February 14, 1989",United States,3,Ohio State
11,5,Jannero Pargo,PG,6-1,175,"October 22, 1979",United States,8,Arkansas
12,7,Ramon Sessions,SG,6-3,190,"April 11, 1986",United States,5,Nevada
13,44,Jeffery Taylor,SF,6-7,225,"May 23, 1989",Sweden,R,Vanderbilt
14,12,Tyrus Thomas,PF,6-9,215,"August 17, 1986",United States,6,LSU
15,15,Kemba Walker,PG,6-0,184,"May 8, 1990",United States,1,UConn
16,21,Hakim Warrick,PF,6-9,219,"July 8, 1982",United States,7,Syracuse
17,55,Reggie Williams,SF,6-6,205,"September 14, 1986",United States,3,Virginia Military Institute
