StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,10.0,2400,406,892,0.455,125,363,0.344,281,529,0.531,173,217,0.797,92,355,447,237,73,49,132,203,1110
Team/G,,240.0,40.6,89.2,0.455,12.5,36.3,0.344,28.1,52.9,0.531,17.3,21.7,0.797,9.2,35.5,44.7,23.7,7.3,4.9,13.2,20.3,111.0
Lg Rank,,11,13,13,13.0,15,14,16.0,14,14,11.0,6,6,7.0,22,14,22,12,21,17,5,23,7
Year/Year,,-0.1%,-4.7%,0.6%,-0.025,3.0%,8.9%,-0.02,-7.7%,-4.3%,-0.019,5.5%,-1.4%,0.052,-1.7%,10.8%,8.0%,-7.1%,-3.2%,-1.5%,-1.3%,4.4%,-2.4%
Opponent,10.0,2400,409,920,0.445,111,349,0.318,298,571,0.522,164,219,0.749,116,358,474,214,78,48,135,192,1093
Opponent/G,,240.0,40.9,92.0,0.445,11.1,34.9,0.318,29.8,57.1,0.522,16.4,21.9,0.749,11.6,35.8,47.4,21.4,7.8,4.8,13.5,19.2,109.3
Lg Rank,,11,22,28,12.0,7,14,5.0,26,25,17.0,20,25,10.0,26,20,22,8,11,13,24,12,20
Year/Year,,-0.1%,-6.2%,2.9%,-0.043,-10.5%,7.0%,-0.062,-4.5%,0.5%,-0.027,-8.0%,-3.3%,-0.038,8.9%,3.6%,4.8%,-15.5%,3.0%,2.9%,-1.6%,2.6%,-6.9%
