,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,34,Giannis Antetokounmpo,SF,6-11,242,"December 6, 1994",Greece,3,
1,9,Michael Beasley,PF,6-9,235,"January 9, 1989",United States,8,Kansas State
2,13,Malcolm Brogdon,SG,6-5,229,"December 11, 1992",United States,R,Virginia
3,8,Matthew Dellavedova,PG,6-3,200,"September 8, 1990",Australia,3,Saint Mary's
4,0,Spencer Hawes,PF,7-1,245,"April 28, 1988",United States,9,Washington
5,31,John Henson,C,6-9,219,"December 28, 1990",United States,4,UNC
6,6,Terrence Jones,PF,6-9,252,"January 9, 1992",United States,4,Kentucky
7,7,Thon Maker,C,7-0,221,"February 25, 1997",South Sudan,R,
8,22,Khris Middleton,SF,6-7,222,"August 12, 1991",United States,4,Texas A&M
9,15,Greg Monroe,C,6-11,265,"June 4, 1990",United States,6,Georgetown
10,6,Steve Novak,PF,6-10,225,"June 13, 1983",United States,10,Marquette
11,12,Jabari Parker,PF,6-8,245,"March 15, 1995",United States,2,Duke
12,0,Gary Payton,PG,6-3,190,"December 1, 1992",United States,R,Oregon State
13,18,Miles Plumlee,C,6-11,249,"September 1, 1988",United States,4,Duke
14,21,Tony Snell,SG,6-6,213,"November 10, 1991",United States,3,New Mexico
15,35,Mirza Teletovic,PF,6-9,242,"September 18, 1985",Bosnia & Herzegovina,4,
16,3,Jason Terry,SG,6-2,185,"September 15, 1977",United States,17,Arizona
17,6,Axel Toupane,SF,6-7,197,"July 23, 1992",France,1,
18,20,Rashad Vaughn,SG,6-6,202,"August 16, 1996",United States,1,UNLV
