,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,7,Anthony Carter,PG,6-1,190,"June 16, 1975",United States,5,Hawaii
1,19,Sam Cassell,PG,6-3,185,"November 18, 1969",United States,11,Florida State
2,44,Ndudi Ebi,SG,6-9,200,"June 18, 1984",United Kingdom,1,
3,21,Kevin Garnett,PF,6-11,240,"May 19, 1976",United States,9,
4,41,Eddie Griffin,PF,6-10,220,"May 30, 1982",United States,2,Seton Hall
5,23,Trenton Hassell,SG,6-5,200,"March 4, 1979",United States,3,Austin Peay State University
6,32,Fred Hoiberg,SG,6-4,203,"October 15, 1972",United States,9,Iowa State
7,16,Troy Hudson,PG,6-1,170,"March 13, 1976",United States,7,"Missouri, Southern Illinois"
8,40,Ervin Johnson,C,6-11,245,"December 21, 1967",United States,11,New Orleans
9,35,Mark Madsen,C,6-9,240,"January 28, 1976",United States,4,Stanford
10,34,Michael Olowokandi,C,7-0,269,"April 3, 1975",Nigeria,6,University of the Pacific
11,8,Latrell Sprewell,SF,6-5,190,"September 8, 1970",United States,12,Alabama
12,10,Wally Szczerbiak,SF,6-7,244,"March 5, 1977",Spain,5,Miami University
13,12,John Thomas,C,6-9,265,"September 8, 1975",United States,3,Minnesota
