Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2019-20,19.0,LAL,NBA,SG,6,81,12.3,0.535,0.433,0.133,2.7,6.7,4.7,10.5,4.7,1.1,15.9,19.7,0.0,0.2,0.1,0.07,-4.0,2.0,-2.1,0.0
2020-21,20.0,LAL,NBA,SG,65,1304,12.9,0.536,0.268,0.264,2.2,12.3,7.3,20.8,2.4,1.4,16.1,21.7,-0.1,2.2,2.1,0.078,-2.5,1.3,-1.2,0.3
2021-22,21.0,LAL,NBA,SG,13,377,9.8,0.466,0.324,0.165,2.6,15.1,9.0,14.3,1.5,1.9,11.8,19.1,-0.2,0.4,0.2,0.027,-3.8,-0.8,-4.6,-0.3
Career,,,NBA,,84,1762,12.2,0.522,0.287,0.237,2.3,12.7,7.5,19.0,2.3,1.5,15.3,21.1,-0.3,2.7,2.4,0.066,-2.9,0.9,-2.0,0.0
