StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
Team,9,4,9,4,5.77,-0.41,5.36,107.6,101.6,96.5,0.181,0.405,0.529,13.3,21.5,0.133,0.504,14.0,79.7,0.158,Ball Arena,130343
Lg Rank,3,24,5,5,4.0,21.0,4.0,17.0,2.0,28.0,30.0,14.0,7.0,17.0,21.0,29.0,7.0,11.0,6.0,8.0,,7
