,StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
0,Team,57,25,58,24,6.11,-0.1,6.01,111.0,104.3,90.7,0.293,0.22,0.502,12.3,29.2,0.228,0.477,12.8,72.3,0.181,STAPLES Center,778877
1,Lg Rank,4,26,3,3,3.0,20.0,3.0,6.0,6.0,21.0,16.0,16.0,11.0,3.0,5.0,13.0,5.0,23.0,22.0,1.0,,8
