,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,5,Lavoy Allen,PF,6-9,260,"February 4, 1989",United States,2,Temple
1,8,Rasual Butler,SG,6-7,215,"May 23, 1979",United States,10,La Salle
2,17,Andrew Bynum,C,7-0,285,"October 27, 1987",United States,7,
3,22,Chris Copeland,SF,6-9,239,"March 17, 1984",United States,1,Colorado
4,24,Paul George,SF,6-8,220,"May 2, 1990",United States,3,Fresno State
5,33,Danny Granger,SF,6-9,222,"April 20, 1983",United States,8,"Bradley, New Mexico"
6,55,Roy Hibbert,C,7-2,270,"December 11, 1986",United States,5,Georgetown
7,3,George Hill,PG,6-4,188,"May 4, 1986",United States,5,IUPUI
8,9,Solomon Hill,SF,6-6,226,"March 18, 1991",United States,R,Arizona
9,11,Orlando Johnson,SG,6-5,220,"March 11, 1989",United States,1,"Loyola Marymount, UC Santa Barbara"
10,28,Ian Mahinmi,C,6-11,262,"November 5, 1986",France,5,
11,4,Luis Scola,PF,6-9,240,"April 30, 1980",Argentina,6,
12,15,Donald Sloan,SG,6-3,205,"January 15, 1988",United States,2,Texas A&M
13,1,Lance Stephenson,SG,6-6,230,"September 5, 1990",United States,3,Cincinnati
14,12,Evan Turner,SF,6-6,220,"October 27, 1988",United States,3,Ohio State
15,32,CJ Watson,PG,6-2,175,"April 17, 1984",United States,6,Tennessee
16,21,David West,PF,6-9,250,"August 29, 1980",United States,10,Xavier
