StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
Team,11,6,13,4,9.06,-0.3,8.76,114.7,105.4,98.1,0.259,0.487,0.551,13.7,24.9,0.203,0.493,10.9,78.3,0.162,Vivint Smart Home Arena,164754
Lg Rank,5,24,2,2,2.0,21.0,2.0,1.0,7.0,17.0,2.0,1.0,2.0,23.0,6.0,1.0,5.0,29.0,9.0,11.0,,6
