,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,13,Ike Anigbogu,C,6-10,250,"October 17, 1998",United States,R,UCLA
1,44,Bojan Bogdanovic,SF,6-7,226,"April 18, 1989",Bosnia & Herzegovina,3,
2,20,Trevor Booker,PF,6-8,228,"November 25, 1987",United States,7,Clemson
3,2,Darren Collison,PG,6-0,175,"August 23, 1987",United States,8,UCLA
4,25,Al Jefferson,C,6-10,289,"January 4, 1985",United States,13,
5,6,Cory Joseph,PG,6-3,200,"August 20, 1991",Canada,6,Texas
6,22,TJ Leaf,PF,6-10,222,"April 30, 1997",Israel,R,UCLA
7,10,Trey McKinney-Jones,SG,6-5,214,"August 27, 1990",United States,R,"Missouri-Kansas City, Miami (FL)"
8,26,Ben Moore,PF,6-8,220,"May 13, 1995",United States,R,SMU
9,4,Victor Oladipo,SG,6-4,213,"May 4, 1992",United States,4,Indiana
10,0,Alex Poythress,PF,6-9,235,"September 6, 1993",United States,1,Kentucky
11,40,Glenn Robinson,SF,6-6,222,"January 8, 1994",United States,3,Michigan
12,11,Domantas Sabonis,C,6-11,240,"May 3, 1996",United States,1,Gonzaga
13,1,Lance Stephenson,SG,6-6,230,"September 5, 1990",United States,7,Cincinnati
14,5,Edmond Sumner,PG,6-4,196,"December 31, 1995",United States,R,Xavier
15,33,Myles Turner,C,6-11,250,"March 24, 1996",United States,2,Texas
16,12,Damien Wilkins,SF,6-6,225,"January 11, 1980",United States,9,"NC State, Georgia"
17,3,Joe Young,PG,6-2,180,"June 27, 1992",United States,2,"Houston, Oregon"
18,21,Thaddeus Young,PF,6-8,235,"June 21, 1988",United States,10,Georgia Tech
