,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,82.0,19855,3307,7038,0.47,569,1605,0.355,2738,5433,0.504,1891,2519,0.751,918,2698,3616,2024,752,551,1203,1731,9074
1,Team/G,,242.1,40.3,85.8,0.47,6.9,19.6,0.355,33.4,66.3,0.504,23.1,30.7,0.751,11.2,32.9,44.1,24.7,9.2,6.7,14.7,21.1,110.7
2,Lg Rank,,5,3,2,6.0,13,11,19.0,4,7,7.0,1,1,19.0,15,2,5,3,1,1,21,17,2
3,Year/Year,,0.4%,4.5%,3.4%,0.005,17.6%,11.5%,0.018,2.2%,1.3%,0.005,3.5%,2.9%,0.005,-8.3%,5.5%,1.6%,5.4%,10.9%,26.7%,-11.0%,-1.4%,5.0%
4,Opponent,82.0,19855,3334,7303,0.457,621,1710,0.363,2713,5593,0.485,1481,2028,0.73,1042,2680,3722,2107,644,393,1343,1950,8770
5,Opponent/G,,242.1,40.7,89.1,0.457,7.6,20.9,0.363,33.1,68.2,0.485,18.1,24.7,0.73,12.7,32.7,45.4,25.7,7.9,4.8,16.4,23.8,107.0
6,Lg Rank,,5,28,29,14.0,29,29,17.0,28,29,15.0,11,13,1.0,28,27,28,30,23,17,2,1,29
7,Year/Year,,0.4%,2.4%,3.0%,-0.003,12.1%,9.0%,0.01,0.4%,1.3%,-0.005,3.0%,4.3%,-0.009,3.6%,8.9%,7.4%,4.8%,-5.3%,-7.3%,0.0%,0.2%,3.1%
