,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,31,Hilton Armstrong,C,6-11,235,"November 11, 1984",United States,4,UConn
1,10,Mike Bibby,PG,6-1,190,"May 13, 1978",United States,12,Arizona
2,34,Jason Collins,C,7-0,255,"December 2, 1978",United States,9,Stanford
3,11,Jamal Crawford,SG,6-5,185,"March 20, 1980",United States,10,Michigan
4,55,Jordan Crawford,SG,6-4,195,"October 23, 1988",United States,R,"Indiana, Xavier"
5,1,Maurice Evans,SF,6-5,220,"November 8, 1978",United States,7,"Wichita State, Texas"
6,6,Kirk Hinrich,PG,6-4,190,"January 2, 1981",United States,7,Kansas
7,15,Al Horford,C,6-9,240,"June 3, 1986",Dominican Republic,3,Florida
8,2,Joe Johnson,SG,6-7,240,"June 29, 1981",United States,9,Arkansas
9,27,Zaza Pachulia,C,6-11,270,"February 10, 1984",Georgia,7,
10,12,Josh Powell,PF,6-9,225,"January 25, 1983",United States,5,NC State
11,5,Josh Smith,PF,6-9,225,"December 5, 1985",United States,6,
12,19,Pape Sy,SF,6-7,225,"April 5, 1988",France,R,
13,0,Jeff Teague,PG,6-3,195,"June 10, 1988",United States,1,Wake Forest
14,36,Etan Thomas,C,6-9,256,"April 1, 1978",United States,8,Syracuse
15,3,Damien Wilkins,SF,6-6,225,"January 11, 1980",United States,6,"NC State, Georgia"
16,24,Marvin Williams,SF,6-8,237,"June 19, 1986",United States,5,UNC
