,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,2019-20,21.0,BOS,NBA,SG,37,351,6.9,0.444,0.594,0.148,1.9,12.4,7.2,9.3,1.7,1.1,9.9,18.4,-0.3,0.4,0.1,0.014,-4.4,-0.2,-4.6,-0.2
1,2020-21,22.0,BOS,NBA,SG,31,276,10.2,0.527,0.568,0.117,1.2,9.4,5.2,7.4,1.2,0.3,5.7,19.3,0.1,0.2,0.3,0.051,-2.9,-1.9,-4.8,-0.2
2,Career,,,NBA,,68,627,8.4,0.482,0.582,0.134,1.6,11.0,6.3,8.5,1.5,0.7,8.0,18.8,-0.2,0.6,0.4,0.03,-3.7,-0.9,-4.7,-0.4
