StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,15.0,3650,618,1328,0.465,185,530,0.349,433,798,0.543,191,253,0.755,150,535,685,356,105,98,234,312,1612
Team/G,,243.3,41.2,88.5,0.465,12.3,35.3,0.349,28.9,53.2,0.543,12.7,16.9,0.755,10.0,35.7,45.7,23.7,7.0,6.5,15.6,20.8,107.5
Lg Rank,,2,8,18,8.0,15,16,15.0,11,14,4.0,28,29,20.0,18,13,14,12,26,1,23,28,19
Year/Year,,0.4%,-4.8%,-2.9%,-0.009,-0.1%,4.0%,-0.014,-6.6%,-7.1%,0.003,-22.5%,-18.7%,-0.037,11.1%,5.9%,7.0%,-13.4%,-17.5%,2.3%,15.2%,3.1%,-6.8%
Opponent,15.0,3650,594,1329,0.447,173,466,0.371,421,863,0.488,250,323,0.774,153,492,645,338,123,70,202,272,1611
Opponent/G,,243.3,39.6,88.6,0.447,11.5,31.1,0.371,28.1,57.5,0.488,16.7,21.5,0.774,10.2,32.8,43.0,22.5,8.2,4.7,13.5,18.1,107.4
Lg Rank,,2,15,13,16.0,8,3,26.0,15,27,3.0,24,24,15.0,15,4,6,13,18,9,19,23,17
Year/Year,,0.4%,-7.3%,-3.0%,-0.021,0.3%,-1.2%,0.006,-10.1%,-3.9%,-0.034,-9.4%,-8.5%,-0.008,-9.7%,-7.6%,-8.1%,-13.6%,10.4%,-11.8%,-9.0%,-0.0%,-6.9%
