,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,1,Daniel Gibson,PG,6-2,190,"February 27, 1986",United States,3,Texas
1,14,Danny Green,SG,6-6,215,"June 22, 1987",United States,R,UNC
2,21,JJ Hickson,PF,6-9,242,"September 4, 1988",United States,1,NC State
3,11,Zydrunas Ilgauskas,C,7-3,238,"June 5, 1975",Lithuania,11,
4,9,Cedric Jackson,PG,6-3,191,"March 5, 1986",United States,R,"St. John's, Cleveland State University"
5,0,Darnell Jackson,PF,6-9,253,"November 7, 1985",United States,1,Kansas
6,23,LeBron James,SF,6-9,250,"December 30, 1984",United States,6,
7,4,Antawn Jamison,PF,6-8,223,"June 12, 1976",United States,11,UNC
8,5,Coby Karl,SG,6-5,215,"March 6, 1983",United States,1,Boise State
9,15,Jamario Moon,SF,6-8,205,"June 13, 1980",United States,2,Meridian Community College
10,33,Shaquille O'Neal,C,7-1,325,"March 6, 1972",United States,17,LSU
11,18,Anthony Parker,SG,6-6,215,"June 19, 1975",United States,6,Bradley
12,44,Leon Powe,SF,6-8,240,"January 22, 1984",United States,3,California
13,3,Sebastian Telfair,PG,6-0,165,"June 9, 1985",United States,5,
14,17,Anderson Varejao,PF,6-10,273,"September 28, 1982",Brazil,5,
15,13,Delonte West,SG,6-4,180,"July 26, 1983",United States,5,Saint Joseph's
16,31,Jawad Williams,PG,6-9,218,"February 19, 1983",United States,1,UNC
17,2,Mo Williams,PG,6-1,198,"December 19, 1982",United States,6,Alabama
