StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,13.0,3195,526,1138,0.462,139,413,0.337,387,725,0.534,218,275,0.793,111,505,616,304,93,75,178,240,1409
Team/G,,245.8,40.5,87.5,0.462,10.7,31.8,0.337,29.8,55.8,0.534,16.8,21.2,0.793,8.5,38.8,47.4,23.4,7.2,5.8,13.7,18.5,108.4
Lg Rank,,25,13,22,9.0,28,26,20.0,5,9,7.0,5,6,8.0,29,1,4,14,22,7,9,12,12
Year/Year,,1.7%,-6.3%,-3.7%,-0.013,5.0%,9.5%,-0.015,-9.8%,-9.9%,0.001,-16.7%,-19.2%,0.024,-11.8%,9.4%,4.8%,-8.2%,-2.4%,39.9%,-4.9%,-14.5%,-7.1%
Opponent,13.0,3195,497,1171,0.424,122,397,0.307,375,774,0.484,229,285,0.804,135,455,590,271,103,59,163,254,1345
Opponent/G,,245.8,38.2,90.1,0.424,9.4,30.5,0.307,28.8,59.5,0.484,17.6,21.9,0.804,10.4,35.0,45.4,20.8,7.9,4.5,12.5,19.5,103.5
Lg Rank,,25,5,20,2.0,1,1,1.0,26,30,1.0,29,28,27.0,16,14,14,3,13,7,30,8,8
Year/Year,,1.7%,-11.3%,-1.6%,-0.046,-24.6%,-9.3%,-0.062,-5.9%,2.8%,-0.045,-11.2%,-13.7%,0.022,1.3%,-2.3%,-1.5%,-14.8%,-2.8%,-6.1%,-14.5%,-11.3%,-12.7%
