StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,11.0,2640,415,957,0.434,138,430,0.321,277,527,0.526,163,227,0.718,112,390,502,228,76,50,146,214,1131
Team/G,,240.0,37.7,87.0,0.434,12.5,39.1,0.321,25.2,47.9,0.526,14.8,20.6,0.718,10.2,35.5,45.6,20.7,6.9,4.5,13.3,19.5,102.8
Lg Rank,,21,25,23,25.0,14,6,26.0,25,28,11.0,18,14,28.0,15,14,15,27,27,20,7,22,25
Year/Year,,-0.1%,-8.2%,-0.4%,-0.037,-9.1%,2.6%,-0.041,-7.7%,-2.6%,-0.029,-10.0%,-2.5%,-0.06,11.6%,3.6%,5.3%,-9.4%,10.5%,5.2%,10.0%,0.3%,-8.6%
Opponent,11.0,2640,445,965,0.461,125,355,0.352,320,610,0.525,149,197,0.756,100,414,514,264,80,54,148,213,1164
Opponent/G,,240.0,40.5,87.7,0.461,11.4,32.3,0.352,29.1,55.5,0.525,13.5,17.9,0.756,9.1,37.6,46.7,24.0,7.3,4.9,13.5,19.4,105.8
Lg Rank,,21,20,8,24.0,8,6,20.0,25,22,20.0,6,5,11.0,7,27,22,19,4,12,22,11,12
Year/Year,,-0.1%,1.0%,0.8%,0.001,-11.5%,-8.4%,-0.012,6.9%,7.0%,-0.001,-21.2%,-20.5%,-0.007,-7.0%,10.2%,6.3%,5.9%,-0.6%,33.9%,6.7%,-3.6%,-4.0%
