StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,18.0,4470,716,1614,0.444,217,652,0.333,499,962,0.519,300,372,0.806,188,656,844,408,143,102,256,335,1949
Team/G,,248.3,39.8,89.7,0.444,12.1,36.2,0.333,27.7,53.4,0.519,16.7,20.7,0.806,10.4,36.4,46.9,22.7,7.9,5.7,14.2,18.6,108.3
Lg Rank,,4,16,8,19.0,14,12,21.0,15,13,15.0,6,7,6.0,11,8,7,18,13,7,14,12,12
Year/Year,,2.9%,-4.1%,0.9%,-0.023,-11.3%,-0.4%,-0.041,-0.5%,1.7%,-0.012,3.4%,-0.5%,0.031,-1.7%,8.4%,6.0%,-3.4%,2.9%,6.5%,1.2%,-8.9%,-3.9%
Opponent,18.0,4470,687,1583,0.434,225,672,0.335,462,911,0.507,300,386,0.777,174,652,826,382,136,82,267,352,1899
Opponent/G,,248.3,38.2,87.9,0.434,12.5,37.3,0.335,25.7,50.6,0.507,16.7,21.4,0.777,9.7,36.2,45.9,21.2,7.6,4.6,14.8,19.6,105.5
Lg Rank,,4,5,13,9.0,16,20,14.0,6,6,12.0,24,24,15.0,9,21,16,3,10,9,12,7,13
Year/Year,,2.9%,-4.4%,2.3%,-0.03,-2.7%,8.7%,-0.039,-5.2%,-2.0%,-0.017,-9.7%,-8.7%,-0.008,2.8%,9.5%,8.0%,-11.8%,2.4%,-1.8%,5.2%,1.4%,-5.1%
