StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,20.0,4800,839,1787,0.47,238,633,0.376,601,1154,0.521,312,390,0.8,210,713,923,481,138,83,247,349,2228
Team/G,,240.0,42.0,89.4,0.47,11.9,31.7,0.376,30.1,57.7,0.521,15.6,19.5,0.8,10.5,35.7,46.2,24.1,6.9,4.2,12.4,17.5,111.4
Lg Rank,,8,4,11,3.0,15,27,2.0,3,5,14.0,18,19,8.0,13,14,10,9,27,27,2,4,5
Year/Year,,-0.7%,2.8%,2.4%,0.002,-4.3%,-5.1%,0.003,6.0%,7.1%,-0.006,-20.7%,-19.5%,-0.012,-0.5%,1.7%,1.2%,-0.3%,-1.2%,-12.6%,-6.7%,-9.7%,-2.0%
Opponent,20.0,4800,815,1810,0.45,259,774,0.335,556,1036,0.537,275,342,0.804,205,659,864,516,149,94,250,391,2164
Opponent/G,,240.0,40.8,90.5,0.45,13.0,38.7,0.335,27.8,51.8,0.537,13.8,17.1,0.804,10.3,33.0,43.2,25.8,7.5,4.7,12.5,19.6,108.2
Lg Rank,,8,22,23,15.0,21,24,11.0,16,12,24.0,6,3,28.0,17,5,6,28,8,15,28,10,21
Year/Year,,-0.7%,-1.2%,1.5%,-0.013,8.7%,13.3%,-0.014,-5.3%,-5.8%,0.003,-18.8%,-18.9%,0.002,2.6%,0.9%,1.3%,5.9%,-3.7%,-6.8%,1.6%,-1.0%,-2.9%
