No.,Player,Pos,Ht,Wt,Birthdate,Country,Exp,College
,Ayo Dosunmu,G,6-5,200,"January 17, 2000",us,R,Illinois
,Patrick Williams,F,6-7,215,"August 26, 2001",us,1,Florida State
,Bryce Alford,G,6-3,185,"January 18, 1995",us,R,UCLA
,Troy Brown Jr.,G-F,6-6,215,"July 28, 1999",us,3,Oregon
,Marko Simonovic,C,6-11,216,"October 15, 1999",me,R,
,Lonzo Ball,G,6-6,190,"October 27, 1997",us,4,UCLA
,Zach LaVine,G,6-5,200,"March 10, 1995",us,7,UCLA
,Devon Dotson (TW),G,6-2,185,"August 2, 1999",us,1,Kansas
,Alex Caruso,G,6-4,186,"February 28, 1994",us,4,Texas A&M
,Coby White,G,6-5,195,"February 16, 2000",us,2,UNC
,Matt Thomas,G,6-4,190,"August 4, 1994",us,2,Iowa State
,Tony Bradley,F-C,6-10,248,"January 8, 1998",us,4,UNC
,Nikola Vučević,C,6-11,260,"October 24, 1990",ch,10,USC
,Stanley Johnson,F,6-6,242,"May 29, 1996",us,6,Arizona
,DeMar DeRozan,G-F,6-6,220,"August 7, 1989",us,12,USC
,Ryan Arcidiacono,G,6-3,195,"March 26, 1994",us,4,Villanova
,Alize Johnson,F,6-7,212,"April 22, 1996",us,3,Missouri State
,Javonte Green,F,6-4,205,"July 23, 1993",us,2,Radford
,Derrick Jones Jr.,F,6-5,210,"February 15, 1997",us,5,UNLV
,Tyler Cook,F,6-8,255,"September 23, 1997",us,2,Iowa
