,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,23,DeVaughn Akoon-Purcell,SG,6-6,200,"June 5, 1993",United States,R,Illinois State
1,5,Will Barton,SF,6-6,181,"January 6, 1991",United States,6,Memphis
2,25,Malik Beasley,SG,6-4,187,"November 26, 1996",United States,2,Florida State
3,3,Torrey Craig,SF,6-7,221,"December 19, 1990",United States,1,USC Upstate
4,6,Brandon Goodwin,PG,6-0,180,"October 2, 1995",United States,R,"Central Florida, Florida Gulf Coast"
5,14,Gary Harris,SG,6-4,210,"September 14, 1994",United States,4,Michigan State
6,41,Juan Hernangomez,PF,6-9,214,"September 28, 1995",Spain,2,
7,15,Nikola Jokic,C,6-11,284,"February 19, 1995",Serbia,3,
8,20,Tyler Lydon,PF,6-10,225,"April 9, 1996",United States,1,Syracuse
9,7,Trey Lyles,PF,6-9,234,"November 5, 1995",Canada,3,Kentucky
10,4,Paul Millsap,PF,6-7,257,"February 10, 1985",United States,12,Louisiana Tech
11,11,Monte Morris,PG,6-2,183,"June 27, 1995",United States,1,Iowa State
12,27,Jamal Murray,PG,6-3,215,"February 23, 1997",Canada,2,Kentucky
13,24,Mason Plumlee,C,6-11,254,"March 5, 1990",United States,5,Duke
14,0,Isaiah Thomas,SG,5-9,185,"February 7, 1989",United States,7,Washington
15,8,Jarred Vanderbilt,PF,6-9,214,"April 3, 1999",United States,R,Kentucky
16,45,Thomas Welsh,C,7-0,255,"February 3, 1996",United States,R,UCLA
17,34,Nick Young,SG,6-7,210,"June 1, 1985",United States,11,USC
