StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,17.0,4105,665,1516,0.439,248,696,0.356,417,820,0.509,254,347,0.732,166,625,791,376,129,74,234,299,1832
Team/G,,241.5,39.1,89.2,0.439,14.6,40.9,0.356,24.5,48.2,0.509,14.9,20.4,0.732,9.8,36.8,46.5,22.1,7.6,4.4,13.8,17.6,107.8
Lg Rank,,9,20,12,22.0,3,4,9.0,28,28,22.0,18,13,26.0,21,6,7,23,17,23,9,5,15
Year/Year,,0.3%,-12.6%,-2.9%,-0.049,1.2%,10.4%,-0.033,-19.1%,-11.9%,-0.045,-8.0%,-4.5%,-0.028,-5.1%,-2.8%,-3.3%,-13.2%,-6.6%,-6.2%,-0.4%,1.8%,-10.3%
Opponent,17.0,4105,688,1564,0.44,217,667,0.325,471,897,0.525,243,321,0.757,180,621,801,380,120,86,226,316,1836
Opponent/G,,241.5,40.5,92.0,0.44,12.8,39.2,0.325,27.7,52.8,0.525,14.3,18.9,0.757,10.6,36.5,47.1,22.4,7.1,5.1,13.3,18.6,108.0
Lg Rank,,9,21,30,12.0,18,25,7.0,14,16,18.0,10,10,9.0,19,25,24,11,5,18,23,16,19
Year/Year,,0.3%,-4.5%,-1.0%,-0.016,-13.9%,1.7%,-0.059,0.5%,-2.8%,0.018,-2.3%,0.7%,-0.023,10.0%,8.0%,8.5%,-10.8%,0.2%,4.7%,1.1%,1.4%,-5.5%
