StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
Team,6,11,7,10,-2.0,1.02,-0.98,108.9,110.9,100.2,0.235,0.395,0.517,12.6,22.5,0.181,0.52,12.0,74.2,0.173,Golden 1 Center,99262
Lg Rank,24,5,21,22,22.0,6.0,21.0,14.0,23.0,6.0,10.0,18.0,19.0,13.0,13.0,11.0,18.0,22.0,29.0,17.0,,26
