,StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
0,Team,58,24,57,25,5.74,0.11,5.86,110.3,104.1,92.7,0.346,0.19,0.492,12.5,28.6,0.273,0.472,14.3,70.2,0.239,American Airlines Center,822533
1,Lg Rank,4,27,4,4,4.0,13.0,3.0,4.0,9.0,9.0,9.0,17.0,8.0,4.0,17.0,3.0,8.0,9.0,23.0,12.0,,3
