,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,0,Avery Bradley,SG,6-3,180,"November 26, 1990",United States,6,Texas
1,7,Jaylen Brown,SF,6-6,223,"October 24, 1996",United States,R,California
2,99,Jae Crowder,SF,6-6,235,"July 6, 1990",United States,4,Marquette
3,30,Gerald Green,SF,6-6,205,"January 26, 1986",United States,9,
4,42,Al Horford,C,6-9,240,"June 3, 1986",Dominican Republic,9,Florida
5,9,Demetrius Jackson,PG,6-1,201,"September 7, 1994",United States,R,Notre Dame
6,8,Jonas Jerebko,PF,6-10,231,"March 2, 1987",Sweden,6,
7,90,Amir Johnson,PF,6-9,240,"May 1, 1987",United States,11,
8,55,Jordan Mickey,PF,6-8,235,"July 9, 1994",United States,1,LSU
9,41,Kelly Olynyk,C,6-11,240,"April 19, 1991",Canada,3,Gonzaga
10,12,Terry Rozier,PG,6-1,190,"March 17, 1994",United States,1,Louisville
11,36,Marcus Smart,SG,6-3,220,"March 6, 1994",United States,2,Oklahoma State
12,4,Isaiah Thomas,PG,5-9,185,"February 7, 1989",United States,5,Washington
13,13,James Young,SG,6-6,215,"August 16, 1995",United States,2,Kentucky
14,44,Tyler Zeller,C,7-0,253,"January 17, 1990",United States,4,UNC
