StatType,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,OppeFG%,OppTOV%,DRB%,OppFT/FGA,Arena,Attendance
Team,9,10,10,9,1.58,-1.0,0.58,108.0,106.5,99.3,0.206,0.467,0.503,13.7,28.1,0.159,0.505,15.7,71.4,0.215,Target Center,187485
Lg Rank,18,11,13,10,11.0,24.0,16.0,17.0,10.0,11.0,24.0,3.0,23.0,24.0,2.0,25.0,9.0,1.0,30.0,30.0,,5
