,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,7,Kelenna Azubuike,SF,6-5,220,"December 16, 1983",United Kingdom,3,Kentucky
1,18,Raja Bell,SG,6-5,204,"September 19, 1976",U.S. Virgin Islands,9,"Boston University, Florida International University"
2,15,Andris Biedrins,C,6-11,240,"April 2, 1986",Latvia,5,
3,30,Stephen Curry,PG,6-3,185,"March 14, 1988",United States,R,Davidson
4,8,Monta Ellis,SG,6-3,185,"October 26, 1985",United States,4,
5,19,Devean George,SF,6-8,220,"August 29, 1977",United States,10,Augsburg College
6,31,Chris Hunter,C,6-11,240,"July 7, 1984",United States,R,Michigan
7,1,Stephen Jackson,PF,6-8,218,"April 5, 1978",United States,9,Butler County Community College
8,11,Coby Karl,SF,6-5,215,"March 6, 1983",United States,1,Boise State
9,2,Acie Law,PG,6-3,195,"January 25, 1985",United States,2,Texas A&M
10,50,Corey Maggette,PF,6-6,218,"November 12, 1979",United States,10,Duke
11,20,Cartier Martin,SF,6-7,220,"November 20, 1984",United States,1,Kansas State
12,33,Mikki Moore,C,6-11,225,"November 4, 1975",United States,11,Nebraska
13,22,Anthony Morrow,SG,6-5,210,"September 27, 1985",United States,1,Georgia Tech
14,77,Vladimir Radmanovic,PF,6-10,227,"November 19, 1980",Bosnia & Herzegovina,8,
15,4,Anthony Randolph,C,6-10,205,"July 15, 1989",Germany,1,LSU
16,44,Anthony Tolliver,PF,6-8,240,"June 1, 1985",United States,1,Creighton
17,21,Ronny Turiaf,C,6-10,249,"January 13, 1983",Martinique,4,Gonzaga
18,23,CJ Watson,PG,6-2,175,"April 17, 1984",United States,2,Tennessee
19,55,Reggie Williams,SF,6-6,205,"September 14, 1986",United States,R,Virginia Military Institute
