,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,82.0,19905,3001,6546,0.458,375,1031,0.364,2626,5515,0.476,1770,2330,0.76,873,2425,3298,1653,651,404,1159,1712,8147
1,Team/G,,242.7,36.6,79.8,0.458,4.6,12.6,0.364,32.0,67.3,0.476,21.6,28.4,0.76,10.6,29.6,40.2,20.2,7.9,4.9,14.1,20.9,99.4
2,Lg Rank,,5,7,12,10.0,22,24,12.0,3,5,15.0,5,4,7.0,19,17,21,18,4,14,13,4,8
3,Year/Year,,0.3%,1.9%,-2.8%,0.021,-25.7%,-29.0%,0.016,7.6%,4.4%,0.014,2.3%,6.2%,-0.029,-4.0%,-4.4%,-4.3%,-3.3%,-13.9%,25.9%,-9.0%,-8.8%,0.2%
4,Opponent,82.0,19905,3100,6699,0.463,498,1420,0.351,2602,5279,0.493,1609,2111,0.762,974,2533,3507,1882,630,386,1269,1898,8307
5,Opponent/G,,242.7,37.8,81.7,0.463,6.1,17.3,0.351,31.7,64.4,0.493,19.6,25.7,0.762,11.9,30.9,42.8,23.0,7.7,4.7,15.5,23.1,101.3
6,Lg Rank,,5,27,27,22.0,20,23,7.0,25,23,23.0,15,12,29.0,24,24,27,27,25,13,4,13,25
7,Year/Year,,0.3%,5.8%,1.2%,0.02,-11.9%,-9.0%,-0.012,10.0%,4.4%,0.025,-8.8%,-8.2%,-0.005,2.3%,-4.9%,-3.0%,0.2%,-7.5%,0.8%,-9.0%,-1.6%,1.4%
