,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,1,Kyle Anderson,SF,6-9,230,"September 20, 1993",United States,4,UCLA
1,0,Avery Bradley,SG,6-3,180,"November 26, 1990",United States,8,Texas
2,24,Dillon Brooks,SF,6-7,225,"January 22, 1996",Canada,1,Oregon
3,8,MarShon Brooks,SG,6-5,200,"January 26, 1989",United States,4,Providence
4,5,Bruno Caboclo,PF,6-9,218,"September 21, 1995",Brazil,4,
5,3,Jevon Carter,PG,6-1,200,"September 14, 1995",United States,R,West Virginia
6,18,Omri Casspi,SF,6-9,225,"June 22, 1988",Israel,9,
7,11,Mike Conley,PG,6-1,175,"October 11, 1987",United States,11,Ohio State
8,22,Tyler Dorsey,SG,6-5,183,"February 18, 1996",United States,1,Oregon
9,33,Marc Gasol,C,6-11,255,"January 29, 1985",Spain,10,
10,0,JaMychal Green,PF,6-8,227,"June 21, 1990",United States,4,Alabama
11,8,Dusty Hannahs,SG,6-3,210,"September 2, 1993",United States,R,"Texas Tech, Arkansas"
12,5,Andrew Harrison,PG,6-6,213,"October 28, 1994",United States,2,Kentucky
13,7,Justin Holiday,SG,6-6,180,"April 5, 1989",United States,5,Washington
14,13,Jaren Jackson,PF,6-11,242,"September 15, 1999",United States,R,Michigan State
15,6,Shelvin Mack,PG,6-3,203,"April 22, 1990",United States,7,Butler
16,6,CJ Miles,SF,6-6,220,"March 18, 1987",United States,13,
17,55,Joakim Noah,C,6-11,230,"February 25, 1985",United States,11,Florida
18,25,Chandler Parsons,SF,6-9,230,"October 25, 1988",United States,7,Florida
19,10,Ivan Rabb,PF,6-10,220,"February 4, 1997",United States,1,California
20,7,Wayne Selden,SG,6-5,230,"September 30, 1994",United States,2,Kansas
21,20,DJ Stephens,SG,6-5,188,"December 19, 1990",United States,1,Memphis
22,17,Garrett Temple,SG,6-5,195,"May 8, 1986",United States,8,LSU
23,17,Jonas Valanciunas,C,6-11,265,"May 6, 1992",Lithuania,6,
24,4,Julian Washburn,SF,6-8,210,"December 18, 1991",United States,R,Texas-El Paso
25,12,Yuta Watanabe,SF,6-9,215,"October 13, 1994",Japan,R,George Washington
26,2,Delon Wright,PG,6-5,185,"April 26, 1992",United States,3,Utah
27,45,Tyler Zeller,C,7-0,253,"January 17, 1990",United States,6,UNC
