StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,12.0,2880,438,1068,0.41,136,448,0.304,302,620,0.487,180,238,0.756,127,443,570,236,88,49,180,206,1192
Team/G,,240.0,36.5,89.0,0.41,11.3,37.3,0.304,25.2,51.7,0.487,15.0,19.8,0.756,10.6,36.9,47.5,19.7,7.3,4.1,15.0,17.2,99.3
Lg Rank,,27,28,16,29.0,21,10,29.0,26,18,26.0,15,15,21.0,12,5,5,30,22,27,18,3,28
Year/Year,,-0.4%,-6.0%,1.1%,-0.031,-4.8%,6.3%,-0.035,-6.5%,-2.3%,-0.022,-3.0%,-7.0%,0.032,6.6%,3.5%,4.2%,-10.8%,4.8%,-7.0%,-7.1%,-5.3%,-5.4%
Opponent,12.0,2880,481,1101,0.437,168,479,0.351,313,622,0.503,160,204,0.784,138,447,585,305,99,77,163,215,1290
Opponent/G,,240.0,40.1,91.8,0.437,14.0,39.9,0.351,26.1,51.8,0.503,13.3,17.0,0.784,11.5,37.3,48.8,25.4,8.3,6.4,13.6,17.9,107.5
Lg Rank,,27,18,27,7.0,27,27,20.0,5,11,10.0,5,2,19.0,25,28,28,24,17,30,18,26,16
Year/Year,,-0.4%,-7.6%,0.0%,-0.036,3.1%,6.9%,-0.013,-12.4%,-4.7%,-0.045,-12.9%,-14.2%,0.011,13.6%,0.7%,3.5%,-1.4%,-8.2%,22.2%,3.8%,-3.4%,-7.0%
