,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College
0,50,Lavoy Allen,C,6-9,260,"February 4, 1989",United States,1,Temple
1,54,Kwame Brown,C,6-11,270,"March 10, 1982",United States,11,
2,0,Spencer Hawes,C,7-1,245,"April 28, 1988",United States,5,Washington
3,11,Jrue Holiday,PG,6-3,205,"June 12, 1990",United States,3,UCLA
4,14,Justin Holiday,SG,6-6,180,"April 5, 1989",United States,R,Washington
5,7,Royal Ivey,SG,6-3,200,"December 20, 1981",United States,8,Texas
6,31,Charles Jenkins,PG,6-3,220,"February 28, 1989",United States,1,Hofstra
7,14,Shelvin Mack,SG,6-3,203,"April 22, 1990",United States,1,Butler
8,5,Arnett Moultrie,PF,6-11,249,"November 18, 1990",United States,R,"Texas-El Paso, Mississippi State"
9,0,Jeremy Pargo,SG,6-2,219,"March 17, 1986",United States,1,Gonzaga
10,23,Jason Richardson,SG,6-6,220,"January 20, 1981",United States,11,Michigan State
11,12,Evan Turner,SF,6-6,220,"October 27, 1988",United States,2,Ohio State
12,18,Maalik Wayns,PG,6-2,200,"May 2, 1991",United States,R,Villanova
13,8,Damien Wilkins,SG,6-6,225,"January 11, 1980",United States,8,"NC State, Georgia"
14,4,Dorell Wright,SF,6-9,205,"December 2, 1985",United States,8,
15,1,Nick Young,SG,6-7,210,"June 1, 1985",United States,5,USC
16,21,Thaddeus Young,PF,6-8,235,"June 21, 1988",United States,5,Georgia Tech
