StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,10.0,2425,380,925,0.411,148,444,0.333,232,481,0.482,138,179,0.771,132,310,442,236,96,59,172,233,1046
Team/G,,242.5,38.0,92.5,0.411,14.8,44.4,0.333,23.2,48.1,0.482,13.8,17.9,0.771,13.2,31.0,44.2,23.6,9.6,5.9,17.2,23.3,104.6
Lg Rank,,27,24,4,28.0,2,1,22.0,30,26,28.0,25,26,15.0,2,30,27,14,4,7,29,30,22
Year/Year,,0.3%,-6.7%,1.7%,-0.037,12.9%,18.1%,-0.016,-16.0%,-9.8%,-0.035,-21.5%,-22.5%,0.01,25.5%,-6.1%,1.6%,-8.0%,9.4%,6.7%,20.6%,11.3%,-6.7%
Opponent,10.0,2425,391,872,0.448,119,366,0.325,272,506,0.538,195,245,0.796,140,365,505,224,93,58,187,192,1096
Opponent/G,,242.5,39.1,87.2,0.448,11.9,36.6,0.325,27.2,50.6,0.538,19.5,24.5,0.796,14.0,36.5,50.5,22.4,9.3,5.8,18.7,19.2,109.6
Lg Rank,,27,9,7,17.0,14,18,7.0,11,7,25.0,30,29,25.0,30,23,30,11,26,25,1,13,23
Year/Year,,0.3%,-9.1%,-2.3%,-0.034,-9.3%,9.3%,-0.067,-9.0%,-9.2%,0.001,5.4%,4.1%,0.01,40.4%,1.9%,10.3%,-16.5%,21.7%,4.9%,22.2%,-3.5%,-6.9%
