,StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,82.0,19855,3175,7049,0.45,807,2231,0.362,2368,4818,0.491,1272,1589,0.801,879,2881,3760,1799,525,372,1117,1494,8429
1,Team/G,,242.1,38.7,86.0,0.45,9.8,27.2,0.362,28.9,58.8,0.491,15.5,19.4,0.801,10.7,35.1,45.9,21.9,6.4,4.5,13.6,18.2,102.8
2,Lg Rank,,13,8,5,17.0,6,3,8.0,21,22,11.0,27,28,1.0,16,1,2,12,27,18,9,2,9
3,Year/Year,,0.0%,-1.0%,-1.2%,0.001,4.8%,7.7%,-0.01,-2.8%,-4.8%,0.01,-18.9%,-17.5%,-0.014,-14.0%,3.4%,-1.3%,-5.5%,15.6%,-3.9%,-0.7%,-5.2%,-3.7%
4,Opponent,82.0,19855,3130,7123,0.439,524,1552,0.338,2606,5571,0.468,1298,1713,0.758,902,2754,3656,1669,655,297,999,1534,8082
5,Opponent/G,,242.1,38.2,86.9,0.439,6.4,18.9,0.338,31.8,67.9,0.468,15.8,20.9,0.758,11.0,33.6,44.6,20.4,8.0,3.6,12.2,18.7,98.6
6,Lg Rank,,13,24,30,7.0,1,2,6.0,29,30,5.0,8,7,22.0,18,23,25,6,21,3,30,28,11
7,Year/Year,,0.0%,-3.6%,-1.1%,-0.012,-1.9%,3.2%,-0.018,-4.0%,-2.2%,-0.008,-7.0%,-6.0%,-0.008,-4.4%,5.0%,2.5%,-0.4%,2.5%,-2.3%,1.4%,-9.7%,-4.1%
