StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,12.0,2880,425,1045,0.407,129,434,0.297,296,611,0.484,192,253,0.759,135,369,504,260,103,62,189,230,1171
Team/G,,240.0,35.4,87.1,0.407,10.8,36.2,0.297,24.7,50.9,0.484,16.0,21.1,0.759,11.3,30.8,42.0,21.7,8.6,5.2,15.8,19.2,97.6
Lg Rank,,23,30,22,30.0,25,13,30.0,28,21,27.0,11,8,19.0,8,30,30,24,11,13,22,20,30
Year/Year,,-0.9%,-8.4%,1.8%,-0.045,-7.0%,9.9%,-0.054,-9.0%,-3.3%,-0.03,-9.9%,-9.8%,-0.0,16.7%,-7.0%,-1.7%,-10.5%,16.4%,0.3%,5.5%,-6.6%,-8.5%
Opponent,12.0,2880,478,993,0.481,150,370,0.405,328,623,0.526,182,241,0.755,101,438,539,279,95,62,204,235,1288
Opponent/G,,240.0,39.8,82.8,0.481,12.5,30.8,0.405,27.3,51.9,0.526,15.2,20.1,0.755,8.4,36.5,44.9,23.3,7.9,5.2,17.0,19.6,107.3
Lg Rank,,23,16,1,30.0,19,1,30.0,11,11,20.0,16,17,11.0,2,24,12,16,13,21,3,6,15
Year/Year,,-0.9%,-3.8%,-4.8%,0.005,10.2%,-1.8%,0.044,-9.0%,-6.6%,-0.014,-10.6%,-10.0%,-0.005,-15.5%,6.2%,1.3%,-6.2%,-1.4%,-11.2%,21.9%,-4.0%,-3.4%
