StatType,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,23.0,5520,909,2092,0.435,260,764,0.34,649,1328,0.489,334,431,0.775,309,711,1020,475,219,108,300,450,2412
Team/G,,240.0,39.5,91.0,0.435,11.3,33.2,0.34,28.2,57.7,0.489,14.5,18.7,0.775,13.4,30.9,44.3,20.7,9.5,4.7,13.0,19.6,104.9
Lg Rank,,7,18,5,24.0,25,23,19.0,11,4,27.0,24,26,15.0,1,30,24,29,3,17,4,22,23
Year/Year,,-0.1%,-0.5%,2.6%,-0.013,-21.8%,-15.5%,-0.027,11.8%,17.0%,-0.023,-16.5%,-12.2%,-0.04,42.3%,-3.8%,6.6%,-14.3%,10.9%,-13.1%,-1.4%,-7.7%,-5.7%
Opponent,23.0,5520,884,1924,0.459,287,803,0.357,597,1121,0.533,377,471,0.8,244,762,1006,548,152,135,381,396,2432
Opponent/G,,240.0,38.4,83.7,0.459,12.5,34.9,0.357,26.0,48.7,0.533,16.4,20.5,0.8,10.6,33.1,43.7,23.8,6.6,5.9,16.6,17.2,105.7
Lg Rank,,7,6,2,22.0,17,12,24.0,6,2,19.0,22,18,26.0,22,5,10,17,2,26,2,29,13
Year/Year,,-0.1%,-1.5%,-1.2%,-0.001,-10.2%,-4.8%,-0.022,3.4%,1.5%,0.01,-17.2%,-17.4%,0.001,6.1%,-7.6%,-4.6%,-8.4%,-0.2%,5.1%,2.7%,-11.8%,-5.4%
